ChargerId,E_requested,T_arrival,T_departure
2,36,21/03/2022 07:40,21/03/2022 14:15
1,39.03,21/03/2022 08:30,21/03/2022 16:45
0,46.74,21/03/2022 07:45,21/03/2022 14:30
3,46.74,21/03/2022 07:55,21/03/2022 14:30
