Time;Voltage [U];Voltage [V];Voltage [W];;;Current [U];Current [V];Current [W];;;Power [U];Power [V];Power [W]
05/07/2023 17:20:41:299;345.997;1.50202e-307;1.50202e-307;;;0.0902776;1.50202e-307;1.50202e-307;;;31.2478;1.50202e-307;1.50202e-307
05/07/2023 17:20:41:302;345.997;1.50201e-307;1.50201e-307;;;0.0902776;1.50201e-307;1.50201e-307;;;31.2478;1.50201e-307;1.50201e-307
05/07/2023 17:20:42:391;345.997;1.50201e-307;1.50201e-307;;;0.0897487;1.50201e-307;1.50201e-307;;;31.0577;1.50201e-307;1.50201e-307
05/07/2023 17:20:42:394;345.997;8.90104e-307;8.90104e-307;;;0.0897487;8.90104e-307;8.90104e-307;;;31.0577;8.90104e-307;8.90104e-307
05/07/2023 17:20:43:565;345.997;7.56593e-307;7.56593e-307;;;0.0891123;7.56593e-307;7.56593e-307;;;30.9217;7.56593e-307;7.56593e-307
05/07/2023 17:20:43:569;345.997;7.56593e-307;7.56593e-307;;;0.0891123;7.56593e-307;7.56593e-307;;;30.9217;7.56593e-307;7.56593e-307
05/07/2023 17:20:44:563;345.997;1.69119e-306;1.69119e-306;;;0.0889985;1.69119e-306;1.69119e-306;;;30.7933;1.69119e-306;1.69119e-306
05/07/2023 17:20:44:566;345.997;1.60221e-306;1.60221e-306;;;0.0889985;1.60221e-306;1.60221e-306;;;30.7933;1.60221e-306;1.60221e-306
05/07/2023 17:20:45:575;345.997;1.11261e-306;1.11261e-306;;;0.0883939;1.11261e-306;1.11261e-306;;;30.564;1.11261e-306;1.11261e-306
05/07/2023 17:20:45:578;345.997;1.86922e-306;1.86922e-306;;;0.0883939;1.86922e-306;1.86922e-306;;;30.564;1.86922e-306;1.86922e-306
05/07/2023 17:20:46:578;345.997;3.22646e-307;3.22646e-307;;;0.0871495;3.22646e-307;3.22646e-307;;;30.1607;3.22646e-307;3.22646e-307
05/07/2023 17:20:46:581;345.997;2.44768e-307;2.44768e-307;;;0.0871495;2.44768e-307;2.44768e-307;;;30.1607;2.44768e-307;2.44768e-307
05/07/2023 17:20:47:605;345.997;1.00133e-307;1.00133e-307;;;0.0895091;1.00133e-307;1.00133e-307;;;30.9533;1.00133e-307;1.00133e-307
05/07/2023 17:20:47:608;345.997;1.22384e-307;1.22384e-307;;;0.0895091;1.22384e-307;1.22384e-307;;;30.9533;1.22384e-307;1.22384e-307
05/07/2023 17:20:48:611;345.997;2.13621e-306;2.13621e-306;;;0.0896004;2.13621e-306;2.13621e-306;;;30.9892;2.13621e-306;2.13621e-306
