Time;Voltage [U];Voltage [V];Voltage [W];;;Current [U];Current [V];Current [W];;;Power [U];Power [V];Power [W]
05/07/2023 17:42:17:608;345.997;1.50202e-307;1.50202e-307;;;0.0896488;1.50202e-307;1.50202e-307;;;31.0031;1.50202e-307;1.50202e-307
05/07/2023 17:42:17:611;345.997;1.50201e-307;1.50201e-307;;;0.0896488;1.50201e-307;1.50201e-307;;;31.0031;1.50201e-307;1.50201e-307
05/07/2023 17:42:18:763;345.997;1.50201e-307;1.50201e-307;;;0.0893404;1.50201e-307;1.50201e-307;;;30.7663;1.50201e-307;1.50201e-307
05/07/2023 17:42:18:766;345.997;8.90104e-307;8.90104e-307;;;0.0893404;8.90104e-307;8.90104e-307;;;30.7663;8.90104e-307;8.90104e-307
05/07/2023 17:42:19:930;345.997;7.56593e-307;7.56593e-307;;;0.0892089;7.56593e-307;7.56593e-307;;;30.8692;7.56593e-307;7.56593e-307
05/07/2023 17:42:19:934;345.997;7.56593e-307;7.56593e-307;;;0.0892089;7.56593e-307;7.56593e-307;;;30.8692;7.56593e-307;7.56593e-307
05/07/2023 17:42:20:773;345.996;1.69119e-306;1.69119e-306;;;0.0895977;1.69119e-306;1.69119e-306;;;31.1012;1.69119e-306;1.69119e-306
05/07/2023 17:42:20:776;345.996;1.60221e-306;1.60221e-306;;;0.0895977;1.60221e-306;1.60221e-306;;;31.1012;1.60221e-306;1.60221e-306
05/07/2023 17:42:21:773;345.996;1.11261e-306;1.11261e-306;;;0.0887612;1.11261e-306;1.11261e-306;;;30.8551;1.11261e-306;1.11261e-306
05/07/2023 17:42:21:776;345.996;1.86922e-306;1.86922e-306;;;0.0887612;1.86922e-306;1.86922e-306;;;30.8551;1.86922e-306;1.86922e-306
05/07/2023 17:42:22:788;345.997;3.22646e-307;3.22646e-307;;;0.0897905;3.22646e-307;3.22646e-307;;;31.0797;3.22646e-307;3.22646e-307
05/07/2023 17:42:22:790;345.997;2.44768e-307;2.44768e-307;;;0.0897905;2.44768e-307;2.44768e-307;;;31.0797;2.44768e-307;2.44768e-307
05/07/2023 17:42:23:789;345.996;1.00133e-307;1.00133e-307;;;0.0875414;1.00133e-307;1.00133e-307;;;30.6872;1.00133e-307;1.00133e-307
05/07/2023 17:42:23:792;345.996;1.22384e-307;1.22384e-307;;;0.0875414;1.22384e-307;1.22384e-307;;;30.6872;1.22384e-307;1.22384e-307
05/07/2023 17:42:24:815;345.997;2.13621e-306;2.13621e-306;;;0.0885854;2.13621e-306;2.13621e-306;;;30.6749;2.13621e-306;2.13621e-306
05/07/2023 17:42:24:819;345.997;8.01102e-307;8.01102e-307;;;0.0885854;8.01102e-307;8.01102e-307;;;30.6749;8.01102e-307;8.01102e-307
05/07/2023 17:42:25:806;345.997;1.29061e-306;1.29061e-306;;;0.0862597;1.29061e-306;1.29061e-306;;;30.9634;1.29061e-306;1.29061e-306
05/07/2023 17:42:25:809;345.997;1.24611e-306;1.24611e-306;;;0.0862597;1.24611e-306;1.24611e-306;;;30.9634;1.24611e-306;1.24611e-306
05/07/2023 17:42:26:848;345.997;1.11261e-306;1.11261e-306;;;0.0893555;1.11261e-306;1.11261e-306;;;30.9292;1.11261e-306;1.11261e-306
05/07/2023 17:42:26:851;345.997;8.01098e-307;8.01098e-307;;;0.0893555;8.01098e-307;8.01098e-307;;;30.9292;8.01098e-307;8.01098e-307
05/07/2023 17:42:27:849;345.997;1.37962e-306;1.37962e-306;;;0.0889119;1.37962e-306;1.37962e-306;;;30.6097;1.37962e-306;1.37962e-306
05/07/2023 17:42:27:852;345.997;1.11261e-306;1.11261e-306;;;0.0889119;1.11261e-306;1.11261e-306;;;30.6097;1.11261e-306;1.11261e-306
05/07/2023 17:42:28:881;345.997;7.56599e-307;7.56599e-307;;;0.0899559;7.56599e-307;7.56599e-307;;;31.1493;7.56599e-307;7.56599e-307
05/07/2023 17:42:28:884;345.997;8.01101e-307;8.01101e-307;;;0.0899559;8.01101e-307;8.01101e-307;;;31.1493;8.01101e-307;8.01101e-307
05/07/2023 17:42:29:892;345.997;1.502e-307;1.502e-307;;;0.089993;1.502e-307;1.502e-307;;;31.1275;1.502e-307;1.502e-307
05/07/2023 17:42:29:895;345.997;1.50199e-307;1.50199e-307;;;0.089993;1.50199e-307;1.50199e-307;;;31.1275;1.50199e-307;1.50199e-307
05/07/2023 17:42:30:921;345.997;7.56577e-307;7.56577e-307;;;0.0889043;7.56577e-307;7.56577e-307;;;30.8881;7.56577e-307;7.56577e-307
05/07/2023 17:42:30:924;345.997;1.3796e-306;1.3796e-306;;;0.0889043;1.3796e-306;1.3796e-306;;;30.8881;1.3796e-306;1.3796e-306
05/07/2023 17:42:31:924;345.997;1.60217e-306;1.60217e-306;;;0.0894356;1.60217e-306;1.60217e-306;;;30.9396;1.60217e-306;1.60217e-306
05/07/2023 17:42:31:928;345.997;1.3796e-306;1.3796e-306;;;0.0894356;1.3796e-306;1.3796e-306;;;30.9396;1.3796e-306;1.3796e-306
05/07/2023 17:42:32:940;345.997;7.56591e-307;7.56591e-307;;;-19.9562;7.56591e-307;7.56591e-307;;;-6908.6;7.56591e-307;7.56591e-307
05/07/2023 17:42:32:944;345.997;1.33512e-306;1.33512e-306;;;-19.9562;1.33512e-306;1.33512e-306;;;-6908.6;1.33512e-306;1.33512e-306
05/07/2023 17:42:33:944;346.002;9.34606e-307;9.34606e-307;;;-19.984;9.34606e-307;9.34606e-307;;;-6914.56;9.34606e-307;9.34606e-307
