Time,Voltage [U],Voltage [V],Voltage [W],,,Current [U],Current [V],Current [W],,,Power [U],Power [V],Power [W]
07/07/2023 14:18:49:286,345.996,1.50202e-307,1.50202e-307,,,0.0920714,1.50202e-307,1.50202e-307,,,31.8272,1.50202e-307,1.50202e-307
07/07/2023 14:18:50:321,345.997,1.50201e-307,1.50201e-307,,,0.0897769,1.50201e-307,1.50201e-307,,,31.0798,1.50201e-307,1.50201e-307
07/07/2023 14:18:51:303,345.995,1.50201e-307,1.50201e-307,,,0.0913763,1.50201e-307,1.50201e-307,,,31.6631,1.50201e-307,1.50201e-307
07/07/2023 14:18:52:332,345.996,8.90104e-307,8.90104e-307,,,0.0914822,8.90104e-307,8.90104e-307,,,31.7099,8.90104e-307,8.90104e-307
07/07/2023 14:18:53:344,345.996,7.56593e-307,7.56593e-307,,,0.0912128,7.56593e-307,7.56593e-307,,,31.5471,7.56593e-307,7.56593e-307
07/07/2023 14:18:54:357,345.996,7.56593e-307,7.56593e-307,,,0.0916545,7.56593e-307,7.56593e-307,,,31.6842,7.56593e-307,7.56593e-307
07/07/2023 14:18:55:351,345.997,1.69119e-306,1.69119e-306,,,0.091756,1.69119e-306,1.69119e-306,,,31.7332,1.69119e-306,1.69119e-306
07/07/2023 14:18:56:391,345.995,1.60221e-306,1.60221e-306,,,0.0910772,1.60221e-306,1.60221e-306,,,31.5113,1.60221e-306,1.60221e-306
07/07/2023 14:18:57:391,345.996,1.11261e-306,1.11261e-306,,,0.0914186,1.11261e-306,1.11261e-306,,,31.6221,1.11261e-306,1.11261e-306
07/07/2023 14:18:58:428,345.996,1.86922e-306,1.86922e-306,,,0.0913493,1.86922e-306,1.86922e-306,,,31.3843,1.86922e-306,1.86922e-306
07/07/2023 14:18:59:437,345.997,3.22646e-307,3.22646e-307,,,-10.0299,3.22646e-307,3.22646e-307,,,-958.61,3.22646e-307,3.22646e-307
07/07/2023 14:19:00:463,345.998,2.44768e-307,2.44768e-307,,,-19.9798,2.44768e-307,2.44768e-307,,,-6912.78,2.44768e-307,2.44768e-307
07/07/2023 14:19:01:469,346.002,1.00133e-307,1.00133e-307,,,-19.9841,1.00133e-307,1.00133e-307,,,-6914.38,1.00133e-307,1.00133e-307
07/07/2023 14:19:02:493,346.009,1.22384e-307,1.22384e-307,,,-19.9867,1.22384e-307,1.22384e-307,,,-6915.37,1.22384e-307,1.22384e-307
07/07/2023 14:19:03:503,346.014,2.13621e-306,2.13621e-306,,,-19.987,2.13621e-306,2.13621e-306,,,-6915.56,2.13621e-306,2.13621e-306
07/07/2023 14:19:04:513,346.021,8.01102e-307,8.01102e-307,,,-19.987,8.01102e-307,8.01102e-307,,,-6915.59,8.01102e-307,8.01102e-307
07/07/2023 14:19:05:516,346.024,1.29061e-306,1.29061e-306,,,-19.9879,1.29061e-306,1.29061e-306,,,-6915.97,1.29061e-306,1.29061e-306
