V1;V2;V3;Vavg;I1;I2;I3;Iavg;PF1;PF2;PF3;PF_avg;PF_total;P1;P1_cal;P2;P2_cal;P3;P3_cal;P_total_sum_meas;P_total_sum_cal;P_total;P_cal;error;avg error;;
230,3478088;228,3539734;228,9017639;229,2011719;0,346533805;0,39291802;0,352112412;0,364519089;0,297843277;0,296982259;0,203140378;0,265988638;0,267020464;23,73408318;23,77483409;26,56119156;26,64655234;16,62114716;16,37294227;66,91642189;66,7943287;66,91641998;66,92723936;0,000161685;;;
230,3237457;228,3214722;228,8692322;229,171463;0,351666093;0,396260768;0,352574706;0,363444328;0,294284761;0,297344357;0,208127052;0,26658539;0,267838508;23,5661335;23,83619801;26,74969101;26,90218368;16,62001801;16,79450071;66,93584251;67,53288241;66,93584442;66,92566648;0,000152055;;;
230,3056641;228,2828217;228,8159637;229,1348267;0,35225895;0,399225444;0,356004268;0,366833836;0,2909756;0,295706362;0,205995679;0,26422588;0,265479594;23,83767509;23,6060449;26,47156525;26,94958685;16,48754311;16,7802967;66,79678345;67,33592845;66,79678345;66,94418996;0,002206791;;;
230,2736359;228,2612152;228,8024597;229,1124268;0,363848537;0,400735974;0,360217333;0,369162887;0,293830752;0,290461212;0,202401832;0,262231266;0,2594423;23,78741837;24,61852895;26,5532589;26,56920758;16,51133347;16,681678;66,85201073;67,86941453;66,94567108;65,83073732;0,016654307;;;
230,2857056;228,2609558;228,8117065;229,1194611;0,372761756;0,408254951;0,373028129;0,374933958;0,27674219;0,287640959;0,191964358;0,252115836;0,25321418;23,78179741;23,75602118;26,60658264;26,80487708;16,60836792;16,3847728;66,99674797;66,94567106;66,99674988;65,2568391;0,025970077;;;
230,3346558;228,3256683;228,8645172;229,174942;0,363139749;0,404638082;0,362361908;0,384681612;0,279645205;0,28206259;0,195444003;0,252383932;0,253440499;23,81661034;23,39055092;26,5295372;26,0595541;16,49638557;16,20851965;66,84253311;65,65862467;66,8425293;67,02947656;0,002796831;;;
230,3085175;228,3184509;228,8399048;229,1552582;0,357483;0,405648708;0,359327495;0,376713246;0,284771264;0,287158668;0,198936507;0,25695548;0,258135706;23,8475399;23,44561102;26,35850143;26,59579868;16,67876244;16,35824456;66,88480377;66,39965426;66,88480377;66,85133043;0,000500463;;;
230,3141785;228,3235016;228,8552704;229,1643219;0,359445214;0,403396815;0,360022426;0,374153048;0,289660245;0,284608632;0,202821761;0,259030213;0,260154426;23,61220932;23,97961876;26,40102577;26,21387049;16,9201622;16,71109938;66,93339729;66,90458864;66,93339539;66,91889565;0,000216629;;;
230,3954926;228,3586731;228,9259186;229,2266846;0,359987557;0,403769702;0,358335435;0,374288172;0,28589198;0,287175804;0,203826323;0,258964702;0,260175526;23,46285057;23,71174087;26,53359795;26,47884784;16,80398178;16,72033571;66,8004303;66,91092442;66,8004303;66,96671134;0,002489221;;;
230,4081879;228,3503265;228,9072113;229,2219086;0,358313203;0,405073196;0,358525783;0,374030918;0,283298701;0,288032621;0,203623429;0,25831825;0,25945431;23,70933533;23,38865795;26,47184372;26,6426132;16,69299507;16,71119911;66,87417412;66,74247027;66,87417603;66,73378709;0,0020993;;;
230,4617004;228,3765411;228,9337769;229,256546;0,360747516;0,401162654;0,357782573;0,373970717;0,287116289;0,286153585;0,203378022;0,258882632;0,260043502;23,64396095;23,87041359;26,58848381;26,2162867;16,5662899;16,65839187;66,79873466;66,74509216;66,79873657;66,88467218;0,001286485;;;
230,4906769;228,3796692;228,9290009;229,2664642;0,354321748;0,402537793;0,35787046;0,373230934;0,284370214;0,290226847;0,20226416;0,25895374;0,261796981;23,72895813;23,22390667;26,572649;26,68097428;16,59439087;16,57088101;66,895998;66,47576197;66,89599609;67,205382;0,004624879;;;
230,493042;228,4817657;228,8405914;229,2717896;0,358991265;0,400208622;0,358947009;0,371576667;0,285316974;0,293550462;0,200644016;0,259837151;0,261120111;23,55766106;23,60854981;26,47066879;26,8423636;16,62080193;16,48122972;66,64913177;66,93214312;66,64913177;66,73607052;0,001304424;;;
230,5137634;228,4156952;228,9377899;229,2890778;0,357764632;0,399963737;0,35570246;0,372715622;0,284264237;0,288220346;0,203217283;0,258567289;0,259838134;23,67146492;23,44317826;26,48339653;26,33123291;16,65836143;16,54874237;66,81322289;66,32315353;66,81322479;66,61700559;0,002936832;;;
230,4874268;228,40271;228,9168549;229,283432;0,35694921;0,40118739;0,355187237;0,371143579;0,287065148;0,289902419;0,20458211;0,260516559;0,26176697;23,50399399;23,61751142;26,79582596;26,56442167;16,70638084;16,63423283;67,00620079;66,81616593;67,0062027;66,82680943;0,002677264;;;
230,5527496;228,426239;228,958374;229,3124542;0,352816463;0,400214881;0,354908675;0,371107966;0,285662949;0,292414963;0,205455795;0,261177902;0,26329428;23,56010056;23,23662572;26,30451012;26,73245312;17,01784897;16,69519678;66,88245964;66,66427562;66,88246155;67,21877555;0,005028433;;;
230,5994568;228,4064484;228,9687195;229,3248749;0,354902059;0,401844233;0,356722057;0,369313359;0,288534313;0,289732039;0,2055659;0,261277417;0,262421042;23,37797928;23,61371226;26,7643261;26,59271161;16,77919197;16,79025113;66,92149734;66,996675;66,92149353;66,6754711;0,003676284;;;
230,6754761;228,3723602;228,9674225;229,3384247;0,353207022;0,399399519;0,354591668;0,371156126;0,286930174;0,293430507;0,206665888;0,26234219;0,263597101;23,70524788;23,37797962;26,40220833;26,76432791;16,78676033;16,77919112;66,89421654;66,92149865;66,89421844;67,31244142;0,006252005;;;
230,7902222;228,3390045;228,9996643;229,3887482;0,34804225;0,395663947;0,35332638;0,369638085;0,291664928;0,288885057;0,205624267;0,262058084;0,263045013;23,42805862;23,4279119;26,48932457;26,09946831;16,94809532;16,6373931;66,86547852;66,1647733;66,86547852;66,9114052;0,000686852;;;
230,9447021;228,2647705;228,9887848;229,3994141;0,348912299;0,39556554;0,356753051;0,365677506;0,291535795;0,293255061;0,209485859;0,264758905;0,265768707;23,26341629;23,49179309;26,69900894;26,47907778;16,79078865;17,11341255;66,75321388;67,08428342;66,75321198;66,8829851;0,001944073;;;
231,009079;228,2736511;229,029892;229,4375458;0,356063396;0,399661958;0,36057657;0,367076963;0,284585536;0,292516977;0,201795265;0,259632592;0,260711312;23,40826225;23,40826367;26,68699455;26,68699493;16,66481972;16,66482062;66,76007652;66,76007921;66,70856476;65,87228809;0,012536271;;;
231,0335236;228,2680969;229,0396423;229,4470978;0,353678972;0,396992594;0,359401882;0,372100681;0,283076972;0,29449597;0,205186829;0,260919924;0,261962056;23,08454132;23,13070031;26,84321976;26,68744389;16,84433174;16,89042133;66,77209282;66,70856553;66,77209473;67,09693454;0,004864904;;;
231,0470581;228,2557831;229,027359;229,4434052;0,351491332;0,4095034;0,365971625;0,372815132;0,280190796;0,293857425;0,203361258;0,259136493;0,260253072;23,18532562;22,75458542;26,64295197;27,46730002;16,83930779;17,04523523;66,66758537;67,26712066;66,66758728;66,78612252;0,001778004;;;
230,9061432;228,2731323;229,0450287;229,4080963;0,354956806;0,416521281;0,372623771;0,375655442;0,285563201;0,284990728;0,200861856;0,257138595;0,25788781;23,04375076;23,40524739;27,04185677;27,09709439;16,67490387;17,14308187;66,7605114;67,64542365;66,76051331;66,6730766;0,001309707;;;
230,8286438;228,1908569;228,9805145;229,3333282;0,35086903;0,414773911;0,369511276;0,381367296;0,285449028;0,286818713;0,19682917;0,256365637;0,25713551;23,11869431;23,11869441;27,14670753;27,1467069;16,65389061;16,65388972;66,91929245;66,91929103;66,93746948;67,46739364;0,007916704;;;
230,8485413;228,2386932;228,9975891;229,361618;0,347594172;0,410604686;0,365611136;0,378384739;0,28774175;0,288819909;0,200439349;0,259000336;0,259768188;22,89406586;23,0888606;27,03203392;27,06701104;16,89584732;16,78159781;66,8219471;66,93746945;66,82194519;67,63345533;0,012144366;;;
230,8221893;228,1866302;228,9836426;229,3308105;0,346502155;0,410802603;0,367483586;0,373411566;0,285388798;0,288588792;0,203719378;0,259232322;0,2601825;22,94913292;22,8255062;27,13806152;27,05221572;16,88125229;17,1425232;66,96844673;67,02024512;66,96844482;66,84201115;0,001887959;;;
230,7902679;228,1444702;228,9369965;229,2905884;0,356179565;0,418654203;0,382159144;0,374929458;0,286951721;0,289528579;0,200642779;0,259041026;0,259725332;22,9249115;23,58822839;26,89542198;27,65392884;16,99291992;17,55431032;66,8132534;68,79646754;66,81325531;66,98404314;0,002556197;;;
230,7692108;228,1052856;228,9202118;229,2649078;0,347300172;0,408196449;0,374942094;0,385664314;0,278882444;0,281587243;0,19422619;0,251565292;0,258459568;22,74713326;22,35136438;27,31639481;26,21908595;16,90070343;16,67078811;66,96423149;65,24123845;66,72721863;68,55843714;0,027443351;;;
230,6989746;228,119812;228,9017792;229,2401886;0,344084918;0,404050469;0,365806311;0,376812905;0,289491475;0,290317625;0,202884138;0,260897746;0,26138255;23,07844353;22,97984422;26,7583828;26,75913205;16,88799095;16,98824266;66,72481728;66,72721893;66,72481537;67,73519266;0,015142452;;;
230,6188202;228,1676636;228,8844299;229,2236328;0,348829985;0,402805716;0,364630461;0,3713139;0,288556784;0,288911045;0,201761499;0,259743109;0,260339051;23,30634499;23,21345824;26,61264992;26,55301644;16,95186043;16,83865863;66,87085533;66,60513331;66,87085724;66,4754324;0,005913261;;;
230,5285187;228,1676636;228,8238983;229,1748199;0,360833287;0,401957244;0,360823542;0,372088701;0,289824903;0,289559871;0,203171611;0,260852128;0,261460781;23,25640106;24,10832035;26,75583458;26,55659125;16,84234238;16,7748741;66,85457802;67,4397857;66,85458374;66,88691868;0,000483661;;;
230,4488373;228,2637787;228,8249207;229,179184;0,359983623;0,404858351;0,364961714;0,374538034;0,27962628;0,291664928;0,204000205;0,258430471;0,258028567;23,27477646;23,19718308;26,58768463;26,95406762;16,93717384;17,03653347;66,79963493;67,18778417;66,79963684;66,4446687;0,005313923;;;
230,3928223;228,2902374;228,8377686;229,1735992;0,359977245;0,404701084;0,361338049;0,376601219;0,284288287;0,287574679;0,203174636;0,258345867;0,259469897;23,51607513;23,57778271;26,33380127;26,56882514;16,95879745;16,8000622;66,80867386;66,94667004;66,80867004;67,18224936;0,005591779;;;
230,3601379;228,3181458;228,8345337;229,1709442;0,357854337;0,404897511;0,360021144;0,375338793;0,285266817;0,28485772;0,205847442;0,258657326;0,259687006;23,79786491;23,51607681;26,43740654;26,33379982;16,78033066;16,95879723;67,01560211;66,80867386;67,01560211;67,01229347;4,93712E-05;;;
230,3110504;228,3499146;228,8185883;229,1659546;0,359097183;0,406012088;0,362204909;0,37638855;0,286516398;0,284829974;0,202552691;0,257966354;0,259025693;23,50305557;23,69606634;26,80172157;26,40739173;16,70215034;16,78740824;67,00692749;66,8908663;67,00692749;67,02712637;0,000301445;;;
230,2794342;228,3785553;228,7835083;229,147171;0,358030081;0,405959815;0,363452524;0,375771403;0,284196675;0,289054453;0,201517865;0,258256331;0,258735836;23,47178268;23,43115314;26,68753815;26,79896564;16,67510414;16,75660214;66,83442497;66,98672091;66,83442688;66,83686409;3,64663E-05;;;
230,3190613;228,3825378;228,7831879;229,1616058;0,360450149;0,406304777;0,364432096;0,37581417;0,282122046;0,289727271;0,200847208;0,257565508;0,258700162;23,42136002;23,4213603;26,88463783;26,88463829;16,74582481;16,74582416;67,05182266;67,05182276;66,85614014;66,83946472;0,000249422;;;
