Datetime;EV2;EV0;EV1
21/03/2022 06:00;0;0;0
21/03/2022 06:05;0;0;0
21/03/2022 06:10;0;0;0
21/03/2022 06:15;0;0;0
21/03/2022 06:20;0;0;0
21/03/2022 06:25;0;0;0
21/03/2022 06:30;0;0;0
21/03/2022 06:35;0;0;0
21/03/2022 06:40;0;0;0
21/03/2022 06:45;0;0;0
21/03/2022 06:50;0;0;0
21/03/2022 06:55;0;0;0
21/03/2022 07:00;0;0;0
21/03/2022 07:05;0;0;0
21/03/2022 07:10;0;0;0
21/03/2022 07:15;0;0;0
21/03/2022 07:20;0;0;0
21/03/2022 07:25;0;0;0
21/03/2022 07:30;0;0;0
21/03/2022 07:35;0;0;0
21/03/2022 07:40;0;0;0
21/03/2022 07:45;26;0;0
21/03/2022 07:50;24,66;0;0
21/03/2022 07:55;0;26;0
21/03/2022 08:00;0;26;0
21/03/2022 08:05;0;26;0
21/03/2022 08:10;0;26;0
21/03/2022 08:15;0;26;0
21/03/2022 08:20;0;26;0
21/03/2022 08:25;0;26;0
21/03/2022 08:30;26;26;0
21/03/2022 08:35;0;26;26
21/03/2022 08:40;26;26;0
21/03/2022 08:45;26;26;0
21/03/2022 08:50;26;26;0
21/03/2022 08:55;26;26;0
21/03/2022 09:00;26;26;0
21/03/2022 09:05;26;26;0
21/03/2022 09:10;26;26;0
21/03/2022 09:15;26;26;0
21/03/2022 09:20;26;26;0
21/03/2022 09:25;26;26;0
21/03/2022 09:30;26;26;0
21/03/2022 09:35;26;26;0
21/03/2022 09:40;26;26;0
21/03/2022 09:45;26;26;0
21/03/2022 09:50;26;26;0
21/03/2022 09:55;26;26;0
21/03/2022 10:00;26;26;0
21/03/2022 10:05;0;26;26
21/03/2022 10:10;26;0;26
21/03/2022 10:15;26;26;0
21/03/2022 10:20;0;26;26
21/03/2022 10:25;26;0;26
21/03/2022 10:30;26;26;0
21/03/2022 10:35;0;26;26
21/03/2022 10:40;26;0;26
21/03/2022 10:45;0;26;26
21/03/2022 10:50;0;26;26
21/03/2022 10:55;26;0;26
21/03/2022 11:00;26;0;26
21/03/2022 11:05;26;26;0
21/03/2022 11:10;0;26;26
21/03/2022 11:15;0;26;26
21/03/2022 11:20;26;26;0
21/03/2022 11:25;26;0;26
21/03/2022 11:30;0;26;26
21/03/2022 11:35;26;0;26
21/03/2022 11:40;0;26;26
21/03/2022 11:45;26;26;0
21/03/2022 11:50;26;26;0
21/03/2022 11:55;13;26;26
21/03/2022 12:00;26;26;0
21/03/2022 12:05;26;26;0
21/03/2022 12:10;26;26;26
21/03/2022 12:15;26;26;26
21/03/2022 12:20;0;26;26
21/03/2022 12:25;0;26;26
21/03/2022 12:30;26;26;0
21/03/2022 12:35;26;5,98;26
21/03/2022 12:40;26;26;26
21/03/2022 12:45;26;0;26
21/03/2022 12:50;13;26;26
21/03/2022 12:55;26;26;26
21/03/2022 13:00;26;26;26
21/03/2022 13:05;26;26;26
21/03/2022 13:10;26;0;26
21/03/2022 13:15;26;0;26
21/03/2022 13:20;26;26;0
21/03/2022 13:25;26;26;0
21/03/2022 13:30;26;26;0
21/03/2022 13:35;26;26;0
21/03/2022 13:40;26;0;26
21/03/2022 13:45;26;26;21,47
21/03/2022 13:50;26;26;0
21/03/2022 13:55;26;26;0
21/03/2022 14:00;26;26;0
21/03/2022 14:05;26;26;0
21/03/2022 14:10;26;26;0
21/03/2022 14:15;0;26;26
21/03/2022 14:20;0;26;26
21/03/2022 14:25;0;26;26
21/03/2022 14:30;0;0;26
21/03/2022 14:35;0;0;26
21/03/2022 14:40;0;0;26
21/03/2022 14:45;0;0;26
21/03/2022 14:50;0;0;26
21/03/2022 14:55;0;0;26
21/03/2022 15:00;0;0;26
21/03/2022 15:05;0;0;26
21/03/2022 15:10;0;0;26
21/03/2022 15:15;0;0;26
21/03/2022 15:20;0;0;26
21/03/2022 15:25;0;0;26
21/03/2022 15:30;0;0;26
21/03/2022 15:35;0;0;26
21/03/2022 15:40;0;0;26
21/03/2022 15:45;0;0;26
21/03/2022 15:50;0;0;26
21/03/2022 15:55;0;0;26
21/03/2022 16:00;0;0;26
21/03/2022 16:05;0;0;26
21/03/2022 16:10;0;0;26
21/03/2022 16:15;0;0;26
21/03/2022 16:20;0;0;26
21/03/2022 16:25;0;0;26
21/03/2022 16:30;0;0;26
21/03/2022 16:35;0;0;26
21/03/2022 16:40;0;0;26
21/03/2022 16:45;0;0;0
21/03/2022 16:50;0;0;0
21/03/2022 16:55;0;0;0
21/03/2022 17:00;0;0;0
21/03/2022 17:05;0;0;0
21/03/2022 17:10;0;0;0
21/03/2022 17:15;0;0;0
21/03/2022 17:20;0;0;0
21/03/2022 17:25;0;0;0
21/03/2022 17:30;0;0;0
21/03/2022 17:35;0;0;0
21/03/2022 17:40;0;0;0
21/03/2022 17:45;0;0;0
21/03/2022 17:50;0;0;0
21/03/2022 17:55;0;0;0
21/03/2022 18:00;0;0;0
