Datetime;Iset;Igrid;Vgrid;Icharger;Vcharger
30/06/2023 11:05;0;1.2;230.5;0.1;347.1
30/06/2023 11:05;0;2.5;230.5;0.1;347.1
30/06/2023 11:05;0;0.3;230.4;0.1;347.1
30/06/2023 11:05;0;0.3;230.5;0.1;347.1
30/06/2023 11:05;0;0.3;230.4;0.1;347.3
30/06/2023 11:05;0;0.3;230.5;0.1;347.1
30/06/2023 11:05;0;0.3;230.5;0.1;347.1
30/06/2023 11:05;0;0.3;230.4;0.1;347.1
30/06/2023 11:05;0;0.3;230.4;0.1;347.1
30/06/2023 11:05;0;0.3;230.4;0.1;347.1
30/06/2023 11:05;0;0.3;230.4;0.1;347.1
30/06/2023 11:05;0;0.3;230.3;0.1;347.1
30/06/2023 11:05;0;0.3;230.2;0.1;347.1
30/06/2023 11:05;0;0.3;230.1;0.1;347.1
30/06/2023 11:05;0;0.3;230.0;0.1;347.1
30/06/2023 11:05;0;0.3;230.1;0.1;347.1
30/06/2023 11:05;0;0.3;230.0;0.1;347.1
30/06/2023 11:05;0;0.3;230.2;0.1;347.1
30/06/2023 11:05;0;0.3;230.3;0.1;347.1
30/06/2023 11:05;0;0.3;230.3;0.1;347.1
30/06/2023 11:05;0;0.3;230.3;0.1;347.1
30/06/2023 11:05;20;0.3;230.3;0.1;347.1
30/06/2023 11:05;20;10.4;228.8;20.2;348.1
30/06/2023 11:05;20;10.4;228.8;20.2;348.2
30/06/2023 11:05;20;10.4;228.8;20.2;348.2
30/06/2023 11:06;20;10.4;228.7;20.2;348.2
30/06/2023 11:06;20;10.4;228.7;20.2;348.2
30/06/2023 11:06;20;10.4;228.9;20.2;348.2
30/06/2023 11:06;20;10.4;228.9;20.2;348.2
30/06/2023 11:06;20;10.4;228.9;20.2;348.2
30/06/2023 11:06;20;10.4;228.8;20.2;348.4
30/06/2023 11:06;20;10.4;228.9;20.2;348.2
30/06/2023 11:06;20;10.4;228.8;20.2;348.2
30/06/2023 11:06;20;10.4;228.8;20.1;348.4
30/06/2023 11:06;20;10.4;228.8;20.2;348.2
30/06/2023 11:06;20;10.4;228.8;20.2;348.2
30/06/2023 11:06;20;10.4;228.7;20.2;348.4
30/06/2023 11:06;20;10.4;228.8;20.2;348.2
30/06/2023 11:06;20;10.4;228.8;20.2;348.2
30/06/2023 11:06;20;0.0;0.0;0.0;0.0
30/06/2023 11:06;20;10.4;228.6;20.2;348.4
30/06/2023 11:06;20;10.4;228.4;20.2;348.4
30/06/2023 11:06;20;10.4;228.4;20.2;348.4
30/06/2023 11:06;20;10.4;228.3;20.2;348.4
30/06/2023 11:06;20;10.4;228.3;20.2;348.4
30/06/2023 11:06;20;10.4;228.2;20.2;348.4
30/06/2023 11:06;20;10.4;228.1;20.2;348.4
30/06/2023 11:06;20;10.4;228.3;20.2;348.4
30/06/2023 11:06;20;10.4;228.2;20.2;348.6
30/06/2023 11:06;20;10.4;228.3;20.2;348.4
