Time;Voltage [U];Voltage [V];Voltage [W];;;Current [U];Current [V];Current [W];;;Power [U];Power [V];Power [W]
30/06/2023 11:05:17:144;345.997;1.50202e-307;1.50202e-307;;;0.0871346;1.50202e-307;1.50202e-307;;;30.3003;1.50202e-307;1.50202e-307
30/06/2023 11:05:17:526;345.997;1.50201e-307;1.50201e-307;;;0.0871346;1.50201e-307;1.50201e-307;;;30.3003;1.50201e-307;1.50201e-307
30/06/2023 11:05:17:721;345.997;1.50201e-307;1.50201e-307;;;0.0874306;1.50201e-307;1.50201e-307;;;30.3003;1.50201e-307;1.50201e-307
30/06/2023 11:05:17:961;345.997;8.90104e-307;8.90104e-307;;;0.0874306;8.90104e-307;8.90104e-307;;;30.0448;8.90104e-307;8.90104e-307
30/06/2023 11:05:18:151;345.997;7.56593e-307;7.56593e-307;;;0.0874306;7.56593e-307;7.56593e-307;;;30.0448;7.56593e-307;7.56593e-307
30/06/2023 11:05:18:358;345.997;7.56593e-307;7.56593e-307;;;0.0869347;7.56593e-307;7.56593e-307;;;29.2478;7.56593e-307;7.56593e-307
30/06/2023 11:05:18:562;345.997;1.69119e-306;1.69119e-306;;;0.0869347;1.69119e-306;1.69119e-306;;;30.0493;1.69119e-306;1.69119e-306
30/06/2023 11:05:18:770;345.997;1.60221e-306;1.60221e-306;;;0.0844439;1.60221e-306;1.60221e-306;;;30.0493;1.60221e-306;1.60221e-306
30/06/2023 11:05:19:138;345.996;1.11261e-306;1.11261e-306;;;0.0868765;1.11261e-306;1.11261e-306;;;30.3162;1.11261e-306;1.11261e-306
30/06/2023 11:05:19:563;345.997;1.86922e-306;1.86922e-306;;;0.0868765;1.86922e-306;1.86922e-306;;;30.3162;1.86922e-306;1.86922e-306
30/06/2023 11:05:19:760;345.997;3.22646e-307;3.22646e-307;;;0.0875244;3.22646e-307;3.22646e-307;;;30.3162;3.22646e-307;3.22646e-307
30/06/2023 11:05:19:970;345.997;2.44768e-307;2.44768e-307;;;0.0875244;2.44768e-307;2.44768e-307;;;30.1925;2.44768e-307;2.44768e-307
30/06/2023 11:05:20:187;345.997;1.00133e-307;1.00133e-307;;;0.0875244;1.00133e-307;1.00133e-307;;;30.1925;1.00133e-307;1.00133e-307
30/06/2023 11:05:20:394;345.997;1.22384e-307;1.22384e-307;;;0.0872074;1.22384e-307;1.22384e-307;;;30.1583;1.22384e-307;1.22384e-307
30/06/2023 11:05:20:772;345.997;2.13621e-306;2.13621e-306;;;0.0872074;2.13621e-306;2.13621e-306;;;30.1583;2.13621e-306;2.13621e-306
30/06/2023 11:05:20:821;345.997;8.01102e-307;8.01102e-307;;;0.0871626;8.01102e-307;8.01102e-307;;;29.7983;8.01102e-307;8.01102e-307
30/06/2023 11:05:21:187;345.998;1.29061e-306;1.29061e-306;;;0.0871626;1.29061e-306;1.29061e-306;;;29.7983;1.29061e-306;1.29061e-306
30/06/2023 11:05:21:387;345.998;1.24611e-306;1.24611e-306;;;0.0859646;1.24611e-306;1.24611e-306;;;29.927;1.24611e-306;1.24611e-306
30/06/2023 11:05:21:601;345.999;1.11261e-306;1.11261e-306;;;0.0859646;1.11261e-306;1.11261e-306;;;29.927;1.11261e-306;1.11261e-306
30/06/2023 11:05:21:792;345.999;8.01098e-307;8.01098e-307;;;0.086525;8.01098e-307;8.01098e-307;;;30.4255;8.01098e-307;8.01098e-307
30/06/2023 11:05:22:009;345.997;1.37962e-306;1.37962e-306;;;0.086525;1.37962e-306;1.37962e-306;;;30.4255;1.37962e-306;1.37962e-306
30/06/2023 11:05:22:210;345.997;1.11261e-306;1.11261e-306;;;0.0877404;1.11261e-306;1.11261e-306;;;30.4255;1.11261e-306;1.11261e-306
30/06/2023 11:05:22:427;345.997;7.56599e-307;7.56599e-307;;;0.0877404;7.56599e-307;7.56599e-307;;;30.46;7.56599e-307;7.56599e-307
30/06/2023 11:05:22:823;345.997;8.01101e-307;8.01101e-307;;;0.0877404;8.01101e-307;8.01101e-307;;;30.2284;8.01101e-307;8.01101e-307
30/06/2023 11:05:22:865;345.997;1.502e-307;1.502e-307;;;0.0880519;1.502e-307;1.502e-307;;;30.2284;1.502e-307;1.502e-307
30/06/2023 11:05:23:229;345.999;1.50199e-307;1.50199e-307;;;0.0872149;1.50199e-307;1.50199e-307;;;30.2284;1.50199e-307;1.50199e-307
30/06/2023 11:05:23:605;345.997;7.56577e-307;7.56577e-307;;;0.0872149;7.56577e-307;7.56577e-307;;;30.1567;7.56577e-307;7.56577e-307
