Datetime;Building Load (kWh);PV (kWh);Price (Euros/kWh);EV3 (A);EV3 (kW);EV2 (A);EV2 (kW);EV1 (A);EV1 (kW);EV0 (A);EV0 (kW)
12/12/2022 10:30;13.4644;-4.7752;0.51399;6.0;1.892399981099704;6.0;1.892399981095474;15;4.729998833177136;0;0.0
12/12/2022 10:35;16.814799999999998;-5.1938;0.51399;6.0;1.8923999810996213;6.0;1.8923999810985648;6;1.8923999811446977;0;0.0
12/12/2022 10:40;16.1514;-5.4972;0.51399;6.0;1.8923999810997567;6.0;1.892399981098685;6;1.892399981076309;0;0.0
12/12/2022 10:45;14.4426;-5.8826;0.51399;6.0;1.8923999810999643;6.0;1.8923999810988803;6;1.8923999810762329;0;0.0
12/12/2022 10:50;15.197400000000002;-6.1584;0.51399;6.0;1.8923999810999528;6.0;1.892399981098904;6;1.892399981076156;0;0.0
12/12/2022 10:55;14.2956;-6.4652;0.51399;6.0;1.892399981100332;6.0;1.892399981095896;6;1.8923999810760783;0;0.0
12/12/2022 11:00;14.5014;-6.7056;0.50367;6.0;1.8923999811009289;6.0;1.8923999810963683;0;9.031680279350008e-21;20;6.3080000630627175
12/12/2022 11:05;14.3328;-6.9298;0.50367;6.0;1.8923999811009884;6.0;1.8923999810964085;0;9.039360410214335e-21;20;6.308000063062746
12/12/2022 11:10;13.8142;-7.1488;0.50367;6.0;1.8923999811011007;6.0;1.892399981096724;0;9.055894929019224e-21;20;6.308000063062799
12/12/2022 11:15;15.5064;-7.215000000000001;0.50367;6.0;1.8923999811008536;6.0;1.8923999810965544;0;9.020136785969523e-21;20;6.308000063062681
12/12/2022 11:20;16.232600000000005;-7.3176;0.50367;6.0;1.89239998110076;6.0;1.892399981096256;0;9.006293397363989e-21;20;6.308000063062635
12/12/2022 11:25;13.615999999999998;-7.3768;0.50367;6.0;1.892399981101167;6.0;1.8923999810965275;0;9.065408540654661e-21;20;6.30800006306283
12/12/2022 11:30;13.560800000000004;-7.4098;0.50367;6.0;1.892399981101181;6.0;1.892399981096777;0;9.066819197206774e-21;20;6.308000063062837
12/12/2022 11:35;13.3586;-7.492199999999999;0.50367;6.0;1.8923999811012244;6.0;1.8923999810965657;0;9.073381139234412e-21;20;6.308000063062857
12/12/2022 11:40;15.318000000000003;-7.7258;0.50367;6.0;1.89239998110096;6.0;1.8923999810963887;0;9.03530471029468e-21;20;6.308000063062733
12/12/2022 11:45;16.617799999999995;-7.8498;0.50367;6.0;1.892399981100782;6.0;1.8923999810962704;0;9.009289745144534e-21;20;6.308000063062646
12/12/2022 11:50;13.462400000000002;-7.894;0.50367;6.0;1.8923999811019023;20.0;6.308000063049184;0;9.053293286510708e-21;20;6.308000063062488
12/12/2022 11:55;13.8334;-7.9096;0.50367;6.0;1.8923999811018444;20.0;6.308000063049102;0;2.2103437275484543e-20;20;6.308000063062463
12/12/2022 12:00;13.814400000000004;-7.9312;0.46772;20.0;6.308000063062193;6.0;1.8923999810955008;0;9.580180976525412e-21;20;6.30800006306443
12/12/2022 12:05;14.33;-7.9632;0.46772;20.0;6.308000063061866;20.0;6.308000063058539;0;5.8851044582005445e-21;20;6.308000063064128
12/12/2022 12:10;13.8116;-8.0352;0.46772;20.0;6.308000063061799;20.0;6.308000063058596;0;5.86161076355027e-21;20;6.308000063064159
12/12/2022 12:15;13.969200000000004;-8.044;0.46772;20.0;6.308000063061896;20.0;6.308000063058582;0;5.860569286851358e-21;20;6.30800006306415
12/12/2022 12:20;14.112000000000002;-8.0236;0.46772;20.0;6.308000063061816;20.0;6.308000063058566;0;5.857121900797809e-21;20;6.308000063064142
12/12/2022 12:25;13.541000000000004;-8.062000000000001;0.46772;20.0;6.308000063062028;20.0;6.308000063058626;0;6.732499565136242e-21;20;6.308000063064175
12/12/2022 12:30;13.421600000000003;-8.016200000000001;0.46772;20.0;6.30800006306203;20.0;6.308000063058632;0;-1.0883148837318535e-20;20;6.308000063064179
12/12/2022 12:35;13.659199999999998;-8.037;0.46772;6.0;1.89239998110185;20.0;6.308000063059112;0;2.4594843396106533e-21;20;6.308000063064443
12/12/2022 12:40;13.821599999999997;-7.981999999999999;0.46772;6.0;1.8923999811018195;20.0;6.308000063059091;0;3.1122570542917677e-21;20;6.308000063064432
12/12/2022 12:45;13.002399999999996;-7.9902;0.46772;6.0;1.892399981101936;20.0;6.308000063059168;0;3.1098523762997002e-21;20;6.3080000630644735
12/12/2022 12:50;12.729;-7.8852;0.46772;6.0;1.8923999811039287;20.0;6.308000063059709;0;3.1106867735104214e-21;20;6.308000063064483
12/12/2022 12:55;12.855999999999998;-7.7876;0.46772;6.0;1.892399981101928;20.0;6.308000063059162;0;3.1088042237421175e-21;20;6.308000063064471
12/12/2022 13:00;12.836399999999998;-7.667;0.46052;6.0;1.8923999811055248;20.0;6.3080000630597794;0;3.2148735279712693e-21;20;6.308000063064816
12/12/2022 13:05;13.7466;-7.5474;0.46052;20.0;6.3080000630619;20.0;6.308000063059236;0;3.2089146023006117e-21;20;6.3080000630645126
12/12/2022 13:10;16.830000000000005;-7.4706;0.46052;20.0;6.3080000630616855;20.0;6.308000063058954;0;3.19079689676508e-21;20;6.308000063064355
12/12/2022 13:15;14.309399999999998;-7.388;0.46052;20.0;6.308000063061852;20.0;6.308000063059173;0;3.2048791409402775e-21;20;6.308000063064476
12/12/2022 13:20;12.887999999999998;-7.292399999999999;0.46052;20.0;6.30800006306194;20.0;6.308000063059289;0;3.2121879198229065e-21;20;6.308000063064542
12/12/2022 13:25;13.002599999999996;-7.248;0.46052;20.0;6.30800006306193;20.0;6.308000063059275;0;3.211326393624025e-21;20;6.308000063064533
12/12/2022 13:30;13.9542;-7.183400000000001;0.46052;20.0;6.308000063061861;20.0;6.308000063059186;0;3.2055025528645548e-21;20;6.308000063064483
12/12/2022 13:35;13.316799999999995;-7.0574;0.46052;20.0;6.308000063061896;20.0;6.308000063059231;0;3.2084584950046448e-21;20;6.308000063064509
12/12/2022 13:40;12.930999999999996;-6.984999999999999;0.46052;20.0;6.308000063061916;20.0;6.308000063059258;0;3.2101712702088174e-21;20;6.308000063064525
12/12/2022 13:45;13.027799999999996;-6.7952;0.46052;20.0;6.308000063061897;20.0;6.308000063059233;0;3.2086547675914725e-21;20;6.308000063064511
12/12/2022 13:50;13.777399999999997;-6.6736;0.46052;20.0;6.308000063061839;20.0;6.308000063059156;0;3.2037724725912684e-21;20;6.308000063064467
12/12/2022 13:55;14.297999999999998;-6.5184;0.46052;20.0;6.308000063061793;20.0;6.308000063059096;0;3.1987221821178147e-21;20;6.308000063064434
12/12/2022 14:00;14.387200000000004;-6.3414;0.44;20.0;6.308000063063151;20.0;6.308000063060867;0;3.4820473331869156e-21;20;6.308000063065437
12/12/2022 14:05;15.712799999999996;-6.1392;0.44;20.0;6.30800006306307;20.0;6.308000063060763;0;3.474460331469315e-21;20;6.308000063065378
