Datetime;Iset;Igrid_avg;Vgrid_avg;Icharger;Vcharger
05/07/2023 18:00;20.0;10.3;231.8;20.2;349.0
05/07/2023 18:00;20.0;10.3;231.7;20.2;349.2
05/07/2023 18:00;20.0;10.3;231.8;20.2;349.0
05/07/2023 18:00;20.0;10.3;231.7;20.2;349.0
05/07/2023 18:00;20.0;10.3;231.7;20.2;349.0
05/07/2023 18:01;20.0;10.3;231.6;20.2;349.0
05/07/2023 18:01;20.0;10.3;231.5;20.2;349.0
05/07/2023 18:01;20.0;10.3;231.7;20.2;349.0
05/07/2023 18:01;20.0;10.3;231.6;20.2;349.0
05/07/2023 18:01;20.0;10.3;231.6;20.2;349.0
05/07/2023 18:01;20.0;10.3;231.7;20.2;349.2
05/07/2023 18:01;20.0;10.3;231.7;20.1;349.2
05/07/2023 18:01;20.0;0.0;0.0;0.0;0.0
05/07/2023 18:01;20.0;10.3;231.7;20.3;349.2
05/07/2023 18:01;20.0;10.3;231.7;20.2;349.2
05/07/2023 18:01;20.0;10.3;231.8;20.2;349.0
05/07/2023 18:01;20.0;10.3;231.9;20.2;349.2
05/07/2023 18:01;20.0;10.3;231.8;20.2;349.2
05/07/2023 18:01;20.0;10.3;232.0;20.2;349.2
05/07/2023 18:01;6.0;10.3;232.0;20.2;349.4
05/07/2023 18:01;6.0;3.1;233.5;6.0;348.4
05/07/2023 18:02;6.0;3.1;233.5;6.1;348.4
05/07/2023 18:02;6.0;3.1;233.6;6.0;348.2
05/07/2023 18:02;6.0;3.1;233.5;6.1;348.4
05/07/2023 18:02;6.0;3.1;233.5;6.0;348.4
05/07/2023 18:02;6.0;3.1;233.4;6.1;348.4
05/07/2023 18:02;6.0;3.1;233.5;6.0;348.4
05/07/2023 18:02;6.0;3.1;233.6;6.0;348.4
05/07/2023 18:02;6.0;3.1;233.6;6.1;348.4
05/07/2023 18:02;6.0;3.1;233.5;6.0;348.4
05/07/2023 18:02;6.0;3.1;233.5;6.1;348.4
05/07/2023 18:02;6.0;3.1;233.4;6.0;348.4
05/07/2023 18:02;6.0;3.1;233.6;6.0;348.4
05/07/2023 18:02;6.0;3.1;233.7;6.0;348.4
05/07/2023 18:02;6.0;3.1;233.7;6.0;348.4
05/07/2023 18:02;6.0;3.1;233.4;6.0;348.4
05/07/2023 18:02;6.0;3.1;233.5;6.1;348.4
05/07/2023 18:02;15.65;3.1;233.5;6.0;348.4
05/07/2023 18:03;6.0;8.0;232.8;15.7;349.0
05/07/2023 18:03;6.0;3.1;233.9;6.0;348.4
05/07/2023 18:03;6.0;3.1;233.9;6.0;348.4
05/07/2023 18:03;6.0;3.2;230.8;6.0;348.4
05/07/2023 18:03;6.0;3.2;230.9;6.0;348.4
05/07/2023 18:03;0.0;3.2;230.9;6.0;348.4
05/07/2023 18:03;0.0;0.3;231.5;0.1;348.2
