Time,Voltage [U],Voltage [V],Voltage [W],,,Current [U],Current [V],Current [W],,,Power [U],Power [V],Power [W]
30/06/2023 10:34:49:075,345.993,1.50202e-307,1.50202e-307,,,0.0855418,1.50202e-307,1.50202e-307,,,29.6412,1.50202e-307,1.50202e-307
30/06/2023 10:34:49:296,345.993,1.50201e-307,1.50201e-307,,,0.0855418,1.50201e-307,1.50201e-307,,,29.6412,1.50201e-307,1.50201e-307
30/06/2023 10:34:49:658,345.993,1.50201e-307,1.50201e-307,,,0.085296,1.50201e-307,1.50201e-307,,,29.594,1.50201e-307,1.50201e-307
30/06/2023 10:34:49:704,345.995,8.90104e-307,8.90104e-307,,,0.085296,8.90104e-307,8.90104e-307,,,29.594,8.90104e-307,8.90104e-307
30/06/2023 10:34:50:075,345.995,7.56593e-307,7.56593e-307,,,0.085296,7.56593e-307,7.56593e-307,,,29.594,7.56593e-307,7.56593e-307
30/06/2023 10:34:50:500,345.995,7.56593e-307,7.56593e-307,,,0.0861585,7.56593e-307,7.56593e-307,,,29.7814,7.56593e-307,7.56593e-307
30/06/2023 10:34:50:874,345.994,1.69119e-306,1.69119e-306,,,0.0861585,1.69119e-306,1.69119e-306,,,29.7814,1.69119e-306,1.69119e-306
30/06/2023 10:34:50:933,345.994,1.60221e-306,1.60221e-306,,,0.0861585,1.60221e-306,1.60221e-306,,,29.7814,1.60221e-306,1.60221e-306
30/06/2023 10:34:51:302,345.994,1.11261e-306,1.11261e-306,,,0.0862893,1.11261e-306,1.11261e-306,,,29.8566,1.11261e-306,1.11261e-306
30/06/2023 10:34:51:493,345.994,1.86922e-306,1.86922e-306,,,0.0862893,1.86922e-306,1.86922e-306,,,29.7692,1.86922e-306,1.86922e-306
30/06/2023 10:34:51:724,345.994,3.22646e-307,3.22646e-307,,,0.0859285,3.22646e-307,3.22646e-307,,,29.7692,3.22646e-307,3.22646e-307
30/06/2023 10:34:52:098,345.994,2.44768e-307,2.44768e-307,,,0.0859285,2.44768e-307,2.44768e-307,,,29.7692,2.44768e-307,2.44768e-307
30/06/2023 10:34:52:525,345.995,1.00133e-307,1.00133e-307,,,0.0865231,1.00133e-307,1.00133e-307,,,29.9809,1.00133e-307,1.00133e-307
30/06/2023 10:34:52:736,345.993,1.22384e-307,1.22384e-307,,,0.0865231,1.22384e-307,1.22384e-307,,,29.9809,1.22384e-307,1.22384e-307
30/06/2023 10:34:52:944,345.993,2.13621e-306,2.13621e-306,,,0.0865231,2.13621e-306,2.13621e-306,,,29.9809,2.13621e-306,2.13621e-306
30/06/2023 10:34:53:323,345.994,8.01102e-307,8.01102e-307,,,0.0857551,8.01102e-307,8.01102e-307,,,29.6964,8.01102e-307,8.01102e-307
30/06/2023 10:34:53:749,345.993,1.29061e-306,1.29061e-306,,,0.0848235,1.29061e-306,1.29061e-306,,,29.3408,1.29061e-306,1.29061e-306
30/06/2023 10:34:53:957,345.993,1.24611e-306,1.24611e-306,,,0.0848235,1.24611e-306,1.24611e-306,,,29.3408,1.24611e-306,1.24611e-306
30/06/2023 10:34:54:171,345.994,1.11261e-306,1.11261e-306,,,0.0867066,1.11261e-306,1.11261e-306,,,29.9808,1.11261e-306,1.11261e-306
30/06/2023 10:34:54:542,345.994,8.01098e-307,8.01098e-307,,,0.0867066,8.01098e-307,8.01098e-307,,,29.9808,8.01098e-307,8.01098e-307
30/06/2023 10:34:54:969,345.994,1.37962e-306,1.37962e-306,,,0.0857637,1.37962e-306,1.37962e-306,,,29.7209,1.37962e-306,1.37962e-306
30/06/2023 10:34:55:177,345.994,1.11261e-306,1.11261e-306,,,0.0858288,1.11261e-306,1.11261e-306,,,29.7044,1.11261e-306,1.11261e-306
30/06/2023 10:34:55:395,345.994,7.56599e-307,7.56599e-307,,,0.0858288,7.56599e-307,7.56599e-307,,,29.7044,7.56599e-307,7.56599e-307
30/06/2023 10:34:55:755,345.994,8.01101e-307,8.01101e-307,,,0.0842749,8.01101e-307,8.01101e-307,,,29.2096,8.01101e-307,8.01101e-307
30/06/2023 10:34:56:187,345.994,1.502e-307,1.502e-307,,,0.0833792,1.502e-307,1.502e-307,,,28.8462,1.502e-307,1.502e-307
30/06/2023 10:34:56:562,345.994,1.50199e-307,1.50199e-307,,,0.0833792,1.50199e-307,1.50199e-307,,,28.8462,1.50199e-307,1.50199e-307
30/06/2023 10:34:56:802,345.994,7.56577e-307,7.56577e-307,,,0.085973,7.56577e-307,7.56577e-307,,,29.8187,7.56577e-307,7.56577e-307
30/06/2023 10:34:57:023,345.994,1.3796e-306,1.3796e-306,,,0.0856252,1.3796e-306,1.3796e-306,,,29.6523,1.3796e-306,1.3796e-306
30/06/2023 10:34:57:410,345.993,1.60217e-306,1.60217e-306,,,0.0856252,1.60217e-306,1.60217e-306,,,29.6523,1.60217e-306,1.60217e-306
30/06/2023 10:34:57:821,345.993,1.3796e-306,1.3796e-306,,,0.0862299,1.3796e-306,1.3796e-306,,,29.8269,1.3796e-306,1.3796e-306
30/06/2023 10:34:58:032,345.993,7.56591e-307,7.56591e-307,,,0.0860019,7.56591e-307,7.56591e-307,,,29.7222,7.56591e-307,7.56591e-307
30/06/2023 10:34:58:253,345.993,1.33512e-306,1.33512e-306,,,0.0860019,1.33512e-306,1.33512e-306,,,29.7222,1.33512e-306,1.33512e-306
30/06/2023 10:34:58:622,345.993,9.34606e-307,9.34606e-307,,,0.0860019,9.34606e-307,9.34606e-307,,,29.7222,9.34606e-307,9.34606e-307
30/06/2023 10:34:59:038,345.994,1.37959e-306,1.37959e-306,,,0.0865581,1.37959e-306,1.37959e-306,,,29.9573,1.37959e-306,1.37959e-306
30/06/2023 10:34:59:247,345.993,1.50201e-307,1.50201e-307,,,0.0865581,1.50201e-307,1.50201e-307,,,29.9573,1.50201e-307,1.50201e-307
30/06/2023 10:34:59:470,345.993,4.22784e-307,4.22784e-307,,,0.0865581,4.22784e-307,4.22784e-307,,,29.9573,4.22784e-307,4.22784e-307
30/06/2023 10:34:59:842,345.994,1.50201e-307,1.50201e-307,,,0.0865791,1.50201e-307,1.50201e-307,,,30.0054,1.50201e-307,1.50201e-307
30/06/2023 10:35:00:272,345.993,1.502e-307,1.502e-307,,,0.0867197,1.502e-307,1.502e-307,,,29.9967,1.502e-307,1.502e-307
30/06/2023 10:35:00:463,345.993,1.1126e-306,1.1126e-306,,,0.0867197,1.1126e-306,1.1126e-306,,,29.9967,1.1126e-306,1.1126e-306
30/06/2023 10:35:00:684,345.994,7.56599e-307,7.56599e-307,,,0.0856779,7.56599e-307,7.56599e-307,,,29.6243,7.56599e-307,7.56599e-307
30/06/2023 10:35:00:888,345.994,1.33511e-306,1.33511e-306,,,0.0856779,1.33511e-306,1.33511e-306,,,29.6243,1.33511e-306,1.33511e-306
30/06/2023 10:35:01:104,345.993,1.06811e-306,1.06811e-306,,,0.0862351,1.06811e-306,1.06811e-306,,,29.8259,1.06811e-306,1.06811e-306
30/06/2023 10:35:01:483,345.993,1.24611e-306,1.24611e-306,,,0.0862351,1.24611e-306,1.24611e-306,,,29.8259,1.24611e-306,1.24611e-306
30/06/2023 10:35:01:904,345.994,1.50212e-307,1.50212e-307,,,0.0847088,1.50212e-307,1.50212e-307,,,29.3235,1.50212e-307,1.50212e-307
30/06/2023 10:35:02:282,345.994,1.50212e-307,1.50212e-307,,,0.0845244,1.50212e-307,1.50212e-307,,,29.2878,1.50212e-307,1.50212e-307
30/06/2023 10:35:02:361,345.994,1.60221e-306,1.60221e-306,,,0.0845244,1.60221e-306,1.60221e-306,,,29.2878,1.60221e-306,1.60221e-306
30/06/2023 10:35:02:709,345.995,1.7802e-306,1.7802e-306,,,0.085676,1.7802e-306,1.7802e-306,,,29.6669,1.7802e-306,1.7802e-306
30/06/2023 10:35:02:904,345.995,1.29061e-306,1.29061e-306,,,0.085676,1.29061e-306,1.29061e-306,,,29.6669,1.29061e-306,1.29061e-306
30/06/2023 10:35:03:124,345.994,1.7802e-306,1.7802e-306,,,0.0858045,1.7802e-306,1.7802e-306,,,29.6992,1.7802e-306,1.7802e-306
30/06/2023 10:35:03:322,345.994,1.50201e-307,1.50201e-307,,,0.0858045,1.50201e-307,1.50201e-307,,,29.6992,1.50201e-307,1.50201e-307
30/06/2023 10:35:03:535,345.994,1.50202e-307,1.50202e-307,,,0.0858045,1.50202e-307,1.50202e-307,,,29.7957,1.50202e-307,1.50202e-307
30/06/2023 10:35:03:719,345.993,2.67019e-307,2.67019e-307,,,0.0862638,2.67019e-307,2.67019e-307,,,29.7957,2.67019e-307,2.67019e-307
30/06/2023 10:35:03:943,345.993,3.22646e-307,3.22646e-307,,,0.0862638,3.22646e-307,3.22646e-307,,,29.7957,3.22646e-307,3.22646e-307
30/06/2023 10:35:04:329,345.993,3.56032e-307,3.56032e-307,,,0.0863682,3.56032e-307,3.56032e-307,,,29.8616,3.56032e-307,3.56032e-307
30/06/2023 10:35:04:381,345.993,7.43654e-219,7.43654e-219,,,0.0863682,7.43654e-219,7.43654e-219,,,29.8616,7.43654e-219,7.43654e-219
30/06/2023 10:35:04:742,345.993,1.02941e-218,1.02941e-218,,,0.0857228,1.02941e-218,1.02941e-218,,,29.6884,1.02941e-218,1.02941e-218
30/06/2023 10:35:04:950,345.993,1.73391e-221,1.73391e-221,,,0.0857228,1.73391e-221,1.73391e-221,,,29.6884,1.73391e-221,1.73391e-221
30/06/2023 10:35:05:163,345.993,2.16105e-217,2.16105e-217,,,0.0851154,2.16105e-217,2.16105e-217,,,29.4794,2.16105e-217,2.16105e-217
30/06/2023 10:35:05:546,345.993,5.32417e-219,5.32417e-219,,,0.0851154,5.32417e-219,5.32417e-219,,,29.4794,5.32417e-219,5.32417e-219
30/06/2023 10:35:05:974,345.993,3.77807e-220,3.77807e-220,,,0.0863828,3.77807e-220,3.77807e-220,,,29.8627,3.77807e-220,3.77807e-220
30/06/2023 10:35:06:170,345.993,4.02153e-221,4.02153e-221,,,0.0863855,4.02153e-221,4.02153e-221,,,29.8538,4.02153e-221,4.02153e-221
30/06/2023 10:35:06:394,345.993,1.50598e-307,1.50598e-307,,,0.0863855,1.50598e-307,1.50598e-307,,,29.8538,1.50598e-307,1.50598e-307
30/06/2023 10:35:06:598,345.993,1.50585e-307,1.50585e-307,,,0.0863569,1.50585e-307,1.50585e-307,,,29.8967,1.50585e-307,1.50585e-307
30/06/2023 10:35:06:812,345.993,6.39574e-279,6.39574e-279,,,0.0863569,6.39574e-279,6.39574e-279,,,29.8967,6.39574e-279,6.39574e-279
