Datetime;Iset;Igrid;Vgrid;Icharger;Vcharger
30/06/2023 10:50;0;0.3;229.9;0.1;347.7
30/06/2023 10:50;0;0.3;229.9;0.1;347.7
30/06/2023 10:50;0;0.3;230.0;0.1;347.7
30/06/2023 10:50;0;0.3;230.1;0.1;347.7
30/06/2023 10:50;0;0.3;230.1;0.1;347.7
30/06/2023 10:50;0;0.3;230.1;0.1;347.7
30/06/2023 10:50;0;0.3;230.1;0.1;347.7
30/06/2023 10:50;0;0.3;230.1;0.1;347.9
30/06/2023 10:50;0;0.3;230.1;0.1;347.7
30/06/2023 10:51;0;0.3;230.0;0.1;347.5
30/06/2023 10:51;0;0.3;230.2;0.1;347.7
30/06/2023 10:51;0;0.3;230.2;0.1;347.7
30/06/2023 10:51;0;0.3;230.1;0.1;347.7
30/06/2023 10:51;0;0.3;230.1;0.1;347.7
30/06/2023 10:51;0;0.3;230.2;0.1;347.5
30/06/2023 10:51;0;0.3;230.0;0.1;347.7
30/06/2023 10:51;0;0.3;229.9;0.1;347.7
30/06/2023 10:51;0;0.3;229.9;0.1;347.7
30/06/2023 10:51;0;0.3;230.1;0.1;347.7
30/06/2023 10:51;0;0.3;230.0;0.1;347.7
30/06/2023 10:51;0;0.3;229.8;0.1;347.7
30/06/2023 10:51;0;0.3;229.7;0.1;347.9
30/06/2023 10:51;0;0.3;229.7;0.1;347.7
30/06/2023 10:51;0;0.3;230.3;0.1;347.7
30/06/2023 10:51;0;0.3;230.3;0.1;347.7
30/06/2023 10:51;0;0.3;230.3;0.1;347.7
30/06/2023 10:51;0;0.3;230.3;0.1;347.7
30/06/2023 10:51;0;0.3;230.3;0.1;347.7
30/06/2023 10:51;0;0.3;230.3;0.1;347.7
30/06/2023 10:51;0;0.3;230.3;0.1;347.7
30/06/2023 10:52;0;0.3;230.2;0.1;347.7
30/06/2023 10:52;0;0.3;230.2;0.1;347.7
30/06/2023 10:52;0;0.3;230.2;0.1;347.7
30/06/2023 10:52;0;0.3;230.2;0.1;347.7
30/06/2023 10:52;0;0.3;230.2;0.1;347.7
