Time,Voltage [U],Voltage [V],Voltage [W],,,Current [U],Current [V],Current [W],,,Power [U],Power [V],Power [W]
05/07/2023 16:58:49:135,345.997,1.50202e-307,1.50202e-307,,,0.0892709,1.50202e-307,1.50202e-307,,,30.9347,1.50202e-307,1.50202e-307
05/07/2023 16:58:49:138,345.997,1.50201e-307,1.50201e-307,,,0.0892709,1.50201e-307,1.50201e-307,,,30.9347,1.50201e-307,1.50201e-307
05/07/2023 16:58:50:145,345.997,1.50201e-307,1.50201e-307,,,0.0888989,1.50201e-307,1.50201e-307,,,30.7624,1.50201e-307,1.50201e-307
05/07/2023 16:58:50:148,345.997,8.90104e-307,8.90104e-307,,,0.0888989,8.90104e-307,8.90104e-307,,,30.7624,8.90104e-307,8.90104e-307
05/07/2023 16:58:50:964,345.997,7.56593e-307,7.56593e-307,,,0.0857657,7.56593e-307,7.56593e-307,,,29.6186,7.56593e-307,7.56593e-307
05/07/2023 16:58:50:967,345.997,7.56593e-307,7.56593e-307,,,0.0857657,7.56593e-307,7.56593e-307,,,29.6186,7.56593e-307,7.56593e-307
05/07/2023 16:58:52:177,345.997,1.69119e-306,1.69119e-306,,,0.0891835,1.69119e-306,1.69119e-306,,,30.9579,1.69119e-306,1.69119e-306
05/07/2023 16:58:52:180,345.997,1.60221e-306,1.60221e-306,,,0.0891835,1.60221e-306,1.60221e-306,,,30.9579,1.60221e-306,1.60221e-306
05/07/2023 16:58:53:256,345.996,1.11261e-306,1.11261e-306,,,0.0888043,1.11261e-306,1.11261e-306,,,30.7142,1.11261e-306,1.11261e-306
05/07/2023 16:58:53:259,345.996,1.86922e-306,1.86922e-306,,,0.0888043,1.86922e-306,1.86922e-306,,,30.7142,1.86922e-306,1.86922e-306
05/07/2023 16:58:54:217,345.997,3.22646e-307,3.22646e-307,,,0.089092,3.22646e-307,3.22646e-307,,,30.6092,3.22646e-307,3.22646e-307
05/07/2023 16:58:54:223,345.997,2.44768e-307,2.44768e-307,,,0.089092,2.44768e-307,2.44768e-307,,,30.6092,2.44768e-307,2.44768e-307
05/07/2023 16:58:55:038,345.996,1.00133e-307,1.00133e-307,,,0.0893783,1.00133e-307,1.00133e-307,,,30.8923,1.00133e-307,1.00133e-307
05/07/2023 16:58:55:042,345.996,1.22384e-307,1.22384e-307,,,0.0893783,1.22384e-307,1.22384e-307,,,30.8923,1.22384e-307,1.22384e-307
05/07/2023 16:58:56:259,345.997,2.13621e-306,2.13621e-306,,,0.0896935,2.13621e-306,2.13621e-306,,,31.0437,2.13621e-306,2.13621e-306
05/07/2023 16:58:56:263,345.997,8.01102e-307,8.01102e-307,,,0.0896935,8.01102e-307,8.01102e-307,,,31.0437,8.01102e-307,8.01102e-307
05/07/2023 16:58:57:081,345.996,1.29061e-306,1.29061e-306,,,0.0896896,1.29061e-306,1.29061e-306,,,31.0451,1.29061e-306,1.29061e-306
05/07/2023 16:58:57:084,345.996,1.24611e-306,1.24611e-306,,,0.0896896,1.24611e-306,1.24611e-306,,,31.0451,1.24611e-306,1.24611e-306
05/07/2023 16:58:58:285,345.997,1.11261e-306,1.11261e-306,,,0.0861284,1.11261e-306,1.11261e-306,,,29.8465,1.11261e-306,1.11261e-306
