Time;Voltage [U];Voltage [V];Voltage [W];;;Current [U];Current [V];Current [W];;;Power [U];Power [V];Power [W]
07/07/2023 13:28:35:160;345.998;1.50202e-307;1.50202e-307;;;0.0911171;1.50202e-307;1.50202e-307;;;31.545;1.50202e-307;1.50202e-307
07/07/2023 13:28:35:206;345.998;1.50201e-307;1.50201e-307;;;0.0911785;1.50201e-307;1.50201e-307;;;31.6242;1.50201e-307;1.50201e-307
07/07/2023 13:28:35:586;345.998;1.50201e-307;1.50201e-307;;;0.0911785;1.50201e-307;1.50201e-307;;;31.6242;1.50201e-307;1.50201e-307
07/07/2023 13:28:35:621;345.998;8.90104e-307;8.90104e-307;;;0.0915511;8.90104e-307;8.90104e-307;;;31.636;8.90104e-307;8.90104e-307
07/07/2023 13:28:35:993;345.997;7.56593e-307;7.56593e-307;;;0.0915265;7.56593e-307;7.56593e-307;;;31.6527;7.56593e-307;7.56593e-307
07/07/2023 13:28:36:186;345.998;7.56593e-307;7.56593e-307;;;0.0909733;7.56593e-307;7.56593e-307;;;31.5645;7.56593e-307;7.56593e-307
07/07/2023 13:28:36:408;345.998;1.69119e-306;1.69119e-306;;;0.0909733;1.69119e-306;1.69119e-306;;;31.5645;1.69119e-306;1.69119e-306
07/07/2023 13:28:36:592;345.998;1.60221e-306;1.60221e-306;;;0.0909733;1.60221e-306;1.60221e-306;;;31.4518;1.60221e-306;1.60221e-306
07/07/2023 13:28:36:809;345.996;1.11261e-306;1.11261e-306;;;0.0902895;1.11261e-306;1.11261e-306;;;31.2578;1.11261e-306;1.11261e-306
07/07/2023 13:28:36:997;345.996;1.86922e-306;1.86922e-306;;;0.0902895;1.86922e-306;1.86922e-306;;;31.2578;1.86922e-306;1.86922e-306
07/07/2023 13:28:37:211;345.996;3.22646e-307;3.22646e-307;;;0.0908985;3.22646e-307;3.22646e-307;;;31.4613;3.22646e-307;3.22646e-307
07/07/2023 13:28:37:586;345.996;2.44768e-307;2.44768e-307;;;0.0908985;2.44768e-307;2.44768e-307;;;31.4613;2.44768e-307;2.44768e-307
07/07/2023 13:28:37:631;345.996;1.00133e-307;1.00133e-307;;;0.0903816;1.00133e-307;1.00133e-307;;;31.438;1.00133e-307;1.00133e-307
07/07/2023 13:28:38:016;345.997;1.22384e-307;1.22384e-307;;;0.0903816;1.22384e-307;1.22384e-307;;;31.3316;1.22384e-307;1.22384e-307
07/07/2023 13:28:38:094;345.997;2.13621e-306;2.13621e-306;;;0.0903816;2.13621e-306;2.13621e-306;;;31.4037;2.13621e-306;2.13621e-306
07/07/2023 13:28:38:525;345.998;8.01102e-307;8.01102e-307;;;0.0915026;8.01102e-307;8.01102e-307;;;31.5963;8.01102e-307;8.01102e-307
07/07/2023 13:28:38:842;345.997;1.29061e-306;1.29061e-306;;;0.0918129;1.29061e-306;1.29061e-306;;;31.7618;1.29061e-306;1.29061e-306
07/07/2023 13:28:39:042;345.997;1.24611e-306;1.24611e-306;;;0.0918129;1.24611e-306;1.24611e-306;;;31.7618;1.24611e-306;1.24611e-306
07/07/2023 13:28:39:278;345.997;1.11261e-306;1.11261e-306;;;0.0905597;1.11261e-306;1.11261e-306;;;31.4155;1.11261e-306;1.11261e-306
07/07/2023 13:28:39:657;345.996;8.01098e-307;8.01098e-307;;;0.0908457;8.01098e-307;8.01098e-307;;;31.45;8.01098e-307;8.01098e-307
07/07/2023 13:28:39:864;345.996;1.37962e-306;1.37962e-306;;;0.0908457;1.37962e-306;1.37962e-306;;;31.45;1.37962e-306;1.37962e-306
07/07/2023 13:28:40:069;345.996;1.11261e-306;1.11261e-306;;;0.0908457;1.11261e-306;1.11261e-306;;;31.3915;1.11261e-306;1.11261e-306
07/07/2023 13:28:40:269;345.997;7.56599e-307;7.56599e-307;;;0.0907654;7.56599e-307;7.56599e-307;;;31.3779;7.56599e-307;7.56599e-307
07/07/2023 13:28:40:494;345.997;8.01101e-307;8.01101e-307;;;0.0907654;8.01101e-307;8.01101e-307;;;31.3779;8.01101e-307;8.01101e-307
07/07/2023 13:28:40:859;345.997;1.502e-307;1.502e-307;;;0.0899202;1.502e-307;1.502e-307;;;31.201;1.502e-307;1.502e-307
