Datetime;Iset;Igrid;Vgrid;Icharger;Vcharger
30/06/2023 11:57;0.0;1.2;229.4;0.1;347.1
30/06/2023 11:57;0.0;2.5;229.5;0.1;347.1
30/06/2023 11:57;0.0;0.3;229.4;0.1;347.1
30/06/2023 11:57;0.0;0.3;229.4;0.1;347.1
30/06/2023 11:57;0.0;0.3;229.4;0.1;347.1
30/06/2023 11:57;0.0;0.3;229.5;0.1;347.1
30/06/2023 11:57;0.0;0.3;229.4;0.1;347.1
30/06/2023 11:57;0.0;0.3;229.3;0.1;347.1
30/06/2023 11:57;0.0;0.3;229.3;0.1;347.1
30/06/2023 11:57;0.0;0.3;229.4;0.1;347.1
30/06/2023 11:57;0.0;0.3;229.3;0.1;347.1
30/06/2023 11:57;0.0;0.3;229.3;0.1;347.1
30/06/2023 11:57;0.0;0.3;229.5;0.1;346.9
30/06/2023 11:58;0.0;0.3;229.5;0.1;347.1
30/06/2023 11:58;0.0;0.3;229.5;0.1;347.1
30/06/2023 11:58;0.0;0.3;229.5;0.1;347.1
30/06/2023 11:58;0.0;0.3;229.5;0.1;347.1
30/06/2023 11:58;0.0;0.3;229.5;0.1;347.1
30/06/2023 11:58;20.0;0.3;229.5;0.1;347.1
30/06/2023 11:58;20.0;10.4;228.1;20.1;348.2
30/06/2023 11:58;20.0;10.4;228.0;20.2;348.2
30/06/2023 11:58;13.02;10.4;228.1;20.2;348.2
30/06/2023 11:58;14.21;6.8;228.7;13.1;347.7
30/06/2023 11:58;15.54;7.4;228.6;14.3;347.7
30/06/2023 11:58;6.0;8.1;228.4;15.7;348.1
30/06/2023 11:58;6.0;3.2;229.1;6.0;347.5
30/06/2023 11:58;6.0;3.2;229.1;6.0;347.5
30/06/2023 11:58;6.0;3.2;229.2;6.0;347.5
30/06/2023 11:58;6.0;3.2;229.1;6.0;347.5
30/06/2023 11:58;6.0;3.2;229.1;6.0;347.5
30/06/2023 11:58;6.0;3.2;229.2;6.0;347.5
30/06/2023 11:58;6.0;3.2;229.1;6.0;347.5
30/06/2023 11:58;6.0;3.2;229.0;6.0;347.3
30/06/2023 11:58;6.0;3.2;228.8;6.0;347.5
30/06/2023 11:58;6.0;3.2;228.8;6.0;347.5
30/06/2023 11:58;6.0;3.2;229.0;6.0;347.5
