Time,Voltage [U],Voltage [V],Voltage [W],,,Current [U],Current [V],Current [W],,,Power [U],Power [V],Power [W]
30/06/2023 12:36:23:900,345.996,1.50202e-307,1.50202e-307,,,0.0853394,1.50202e-307,1.50202e-307,,,29.5264,1.50202e-307,1.50202e-307
30/06/2023 12:36:24:308,345.996,1.50201e-307,1.50201e-307,,,0.0845941,1.50201e-307,1.50201e-307,,,29.3471,1.50201e-307,1.50201e-307
30/06/2023 12:36:24:311,345.996,1.50201e-307,1.50201e-307,,,0.0845941,1.50201e-307,1.50201e-307,,,29.3471,1.50201e-307,1.50201e-307
30/06/2023 12:36:24:312,345.996,8.90104e-307,8.90104e-307,,,0.0845941,8.90104e-307,8.90104e-307,,,29.3471,8.90104e-307,8.90104e-307
30/06/2023 12:36:24:650,345.996,7.56593e-307,7.56593e-307,,,0.0855764,7.56593e-307,7.56593e-307,,,29.5334,7.56593e-307,7.56593e-307
30/06/2023 12:36:24:726,345.996,7.56593e-307,7.56593e-307,,,0.0855764,7.56593e-307,7.56593e-307,,,29.5334,7.56593e-307,7.56593e-307
30/06/2023 12:36:24:730,345.996,1.69119e-306,1.69119e-306,,,0.0855764,1.69119e-306,1.69119e-306,,,29.5334,1.69119e-306,1.69119e-306
30/06/2023 12:36:25:234,345.997,1.60221e-306,1.60221e-306,,,0.0855022,1.60221e-306,1.60221e-306,,,29.5602,1.60221e-306,1.60221e-306
30/06/2023 12:36:25:239,345.997,1.11261e-306,1.11261e-306,,,0.0855022,1.11261e-306,1.11261e-306,,,29.5602,1.11261e-306,1.11261e-306
30/06/2023 12:36:25:240,345.997,1.86922e-306,1.86922e-306,,,0.0855022,1.86922e-306,1.86922e-306,,,29.5602,1.86922e-306,1.86922e-306
30/06/2023 12:36:25:857,345.997,3.22646e-307,3.22646e-307,,,0.0850713,3.22646e-307,3.22646e-307,,,29.4729,3.22646e-307,3.22646e-307
30/06/2023 12:36:25:859,345.997,2.44768e-307,2.44768e-307,,,0.0850713,2.44768e-307,2.44768e-307,,,29.4729,2.44768e-307,2.44768e-307
30/06/2023 12:36:25:862,345.997,1.00133e-307,1.00133e-307,,,0.0850713,1.00133e-307,1.00133e-307,,,29.4729,1.00133e-307,1.00133e-307
30/06/2023 12:36:26:236,345.996,1.22384e-307,1.22384e-307,,,0.0838995,1.22384e-307,1.22384e-307,,,29.0386,1.22384e-307,1.22384e-307
30/06/2023 12:36:26:239,345.996,2.13621e-306,2.13621e-306,,,0.0838995,2.13621e-306,2.13621e-306,,,29.0386,2.13621e-306,2.13621e-306
30/06/2023 12:36:26:240,345.996,8.01102e-307,8.01102e-307,,,0.0838995,8.01102e-307,8.01102e-307,,,29.0386,8.01102e-307,8.01102e-307
30/06/2023 12:36:26:632,345.997,1.29061e-306,1.29061e-306,,,0.0848924,1.29061e-306,1.29061e-306,,,29.3315,1.29061e-306,1.29061e-306
30/06/2023 12:36:26:635,345.997,1.24611e-306,1.24611e-306,,,0.0848924,1.24611e-306,1.24611e-306,,,29.3315,1.24611e-306,1.24611e-306
30/06/2023 12:36:26:638,345.997,1.11261e-306,1.11261e-306,,,0.0848924,1.11261e-306,1.11261e-306,,,29.3315,1.11261e-306,1.11261e-306
30/06/2023 12:36:27:197,345.996,8.01098e-307,8.01098e-307,,,0.0852098,8.01098e-307,8.01098e-307,,,29.5541,8.01098e-307,8.01098e-307
30/06/2023 12:36:27:198,345.996,1.37962e-306,1.37962e-306,,,0.0852098,1.37962e-306,1.37962e-306,,,29.5541,1.37962e-306,1.37962e-306
30/06/2023 12:36:27:201,345.996,1.11261e-306,1.11261e-306,,,0.0852098,1.11261e-306,1.11261e-306,,,29.5541,1.11261e-306,1.11261e-306
30/06/2023 12:36:27:654,345.998,7.56599e-307,7.56599e-307,,,0.0852568,7.56599e-307,7.56599e-307,,,29.5916,7.56599e-307,7.56599e-307
30/06/2023 12:36:27:657,345.998,8.01101e-307,8.01101e-307,,,0.0852568,8.01101e-307,8.01101e-307,,,29.5916,8.01101e-307,8.01101e-307
30/06/2023 12:36:27:658,345.998,1.502e-307,1.502e-307,,,0.0852568,1.502e-307,1.502e-307,,,29.5916,1.502e-307,1.502e-307
30/06/2023 12:36:28:259,345.996,1.50199e-307,1.50199e-307,,,0.085326,1.50199e-307,1.50199e-307,,,29.4268,1.50199e-307,1.50199e-307
30/06/2023 12:36:28:263,345.996,7.56577e-307,7.56577e-307,,,0.085326,7.56577e-307,7.56577e-307,,,29.4268,7.56577e-307,7.56577e-307
30/06/2023 12:36:28:266,345.996,1.3796e-306,1.3796e-306,,,0.085326,1.3796e-306,1.3796e-306,,,29.4268,1.3796e-306,1.3796e-306
30/06/2023 12:36:28:816,345.998,1.60217e-306,1.60217e-306,,,0.0848587,1.60217e-306,1.60217e-306,,,29.112,1.60217e-306,1.60217e-306
30/06/2023 12:36:28:819,345.998,1.3796e-306,1.3796e-306,,,0.0848587,1.3796e-306,1.3796e-306,,,29.112,1.3796e-306,1.3796e-306
30/06/2023 12:36:28:821,345.998,7.56591e-307,7.56591e-307,,,0.0848587,7.56591e-307,7.56591e-307,,,29.112,7.56591e-307,7.56591e-307
30/06/2023 12:36:29:128,345.996,1.33512e-306,1.33512e-306,,,0.0841025,1.33512e-306,1.33512e-306,,,29.0019,1.33512e-306,1.33512e-306
30/06/2023 12:36:29:131,345.996,9.34606e-307,9.34606e-307,,,0.0841025,9.34606e-307,9.34606e-307,,,29.0019,9.34606e-307,9.34606e-307
30/06/2023 12:36:29:134,345.996,1.37959e-306,1.37959e-306,,,0.0841025,1.37959e-306,1.37959e-306,,,29.0019,1.37959e-306,1.37959e-306
30/06/2023 12:36:29:884,345.996,1.50201e-307,1.50201e-307,,,0.084035,1.50201e-307,1.50201e-307,,,28.7769,1.50201e-307,1.50201e-307
30/06/2023 12:36:29:885,345.996,4.22784e-307,4.22784e-307,,,0.084035,4.22784e-307,4.22784e-307,,,28.7769,4.22784e-307,4.22784e-307
30/06/2023 12:36:29:888,345.996,1.50201e-307,1.50201e-307,,,0.084035,1.50201e-307,1.50201e-307,,,28.7769,1.50201e-307,1.50201e-307
30/06/2023 12:36:30:380,345.995,1.502e-307,1.502e-307,,,0.0830431,1.502e-307,1.502e-307,,,28.764,1.502e-307,1.502e-307
30/06/2023 12:36:30:382,345.995,1.1126e-306,1.1126e-306,,,0.0830431,1.1126e-306,1.1126e-306,,,28.764,1.1126e-306,1.1126e-306
30/06/2023 12:36:30:385,345.995,7.56599e-307,7.56599e-307,,,0.0830431,7.56599e-307,7.56599e-307,,,28.764,7.56599e-307,7.56599e-307
30/06/2023 12:36:30:763,345.997,1.33511e-306,1.33511e-306,,,0.0828537,1.33511e-306,1.33511e-306,,,29.5411,1.33511e-306,1.33511e-306
30/06/2023 12:36:30:766,345.997,1.06811e-306,1.06811e-306,,,0.0828537,1.06811e-306,1.06811e-306,,,29.5411,1.06811e-306,1.06811e-306
30/06/2023 12:36:30:769,345.997,1.24611e-306,1.24611e-306,,,0.0828537,1.24611e-306,1.24611e-306,,,29.5411,1.24611e-306,1.24611e-306
30/06/2023 12:36:31:510,345.996,1.50212e-307,1.50212e-307,,,0.0855685,1.50212e-307,1.50212e-307,,,29.3813,1.50212e-307,1.50212e-307
30/06/2023 12:36:31:513,345.996,1.50212e-307,1.50212e-307,,,0.0855685,1.50212e-307,1.50212e-307,,,29.3813,1.50212e-307,1.50212e-307
30/06/2023 12:36:31:515,345.996,1.60221e-306,1.60221e-306,,,0.0855685,1.60221e-306,1.60221e-306,,,29.3813,1.60221e-306,1.60221e-306
30/06/2023 12:36:31:974,345.997,1.7802e-306,1.7802e-306,,,0.0848721,1.7802e-306,1.7802e-306,,,29.5608,1.7802e-306,1.7802e-306
30/06/2023 12:36:31:979,345.997,1.29061e-306,1.29061e-306,,,0.0848721,1.29061e-306,1.29061e-306,,,29.5608,1.29061e-306,1.29061e-306
30/06/2023 12:36:31:980,345.997,1.7802e-306,1.7802e-306,,,0.0848721,1.7802e-306,1.7802e-306,,,29.5608,1.7802e-306,1.7802e-306
30/06/2023 12:36:32:759,345.995,1.50201e-307,1.50201e-307,,,0.0855531,1.50201e-307,1.50201e-307,,,29.6177,1.50201e-307,1.50201e-307
30/06/2023 12:36:32:763,345.995,1.50202e-307,1.50202e-307,,,0.0855531,1.50202e-307,1.50202e-307,,,29.6177,1.50202e-307,1.50202e-307
30/06/2023 12:36:32:765,345.995,2.67019e-307,2.67019e-307,,,0.0855531,2.67019e-307,2.67019e-307,,,29.6177,2.67019e-307,2.67019e-307
30/06/2023 12:36:33:562,345.996,3.22646e-307,3.22646e-307,,,0.0857238,3.22646e-307,3.22646e-307,,,29.5575,3.22646e-307,3.22646e-307
30/06/2023 12:36:33:565,345.996,3.56032e-307,3.56032e-307,,,0.0857238,3.56032e-307,3.56032e-307,,,29.5575,3.56032e-307,3.56032e-307
30/06/2023 12:36:33:569,345.996,7.43654e-219,7.43654e-219,,,0.0857238,7.43654e-219,7.43654e-219,,,29.5575,7.43654e-219,7.43654e-219
30/06/2023 12:36:34:147,345.996,1.02941e-218,1.02941e-218,,,0.0854426,1.02941e-218,1.02941e-218,,,29.3311,1.02941e-218,1.02941e-218
30/06/2023 12:36:34:154,345.996,1.73391e-221,1.73391e-221,,,0.0854426,1.73391e-221,1.73391e-221,,,29.3311,1.73391e-221,1.73391e-221
30/06/2023 12:36:34:161,345.996,2.16105e-217,2.16105e-217,,,0.0854426,2.16105e-217,2.16105e-217,,,29.3311,2.16105e-217,2.16105e-217
30/06/2023 12:36:34:477,345.996,5.32417e-219,5.32417e-219,,,0.0854426,5.32417e-219,5.32417e-219,,,29.4648,5.32417e-219,5.32417e-219
30/06/2023 12:36:34:480,345.996,3.77807e-220,3.77807e-220,,,0.0854426,3.77807e-220,3.77807e-220,,,29.4648,3.77807e-220,3.77807e-220
30/06/2023 12:36:34:483,345.996,4.02153e-221,4.02153e-221,,,0.0854426,4.02153e-221,4.02153e-221,,,29.4648,4.02153e-221,4.02153e-221
30/06/2023 12:36:35:000,345.995,1.50598e-307,1.50598e-307,,,0.0848984,1.50598e-307,1.50598e-307,,,29.6614,1.50598e-307,1.50598e-307
30/06/2023 12:36:35:003,345.995,1.50585e-307,1.50585e-307,,,0.0848984,1.50585e-307,1.50585e-307,,,29.6614,1.50585e-307,1.50585e-307
30/06/2023 12:36:35:005,345.995,6.39574e-279,6.39574e-279,,,0.0848984,6.39574e-279,6.39574e-279,,,29.6614,6.39574e-279,6.39574e-279
30/06/2023 12:36:35:378,345.996,2.29391e-278,2.29391e-278,,,0.0857564,2.29391e-278,2.29391e-278,,,29.5841,2.29391e-278,2.29391e-278
