Time,Voltage [U],Voltage [V],Voltage [W],,,Current [U],Current [V],Current [W],,,Power [U],Power [V],Power [W]
07/07/2023 13:58:26:395,345.998,1.50202e-307,1.50202e-307,,,0.0913795,1.50202e-307,1.50202e-307,,,31.9752,1.50202e-307,1.50202e-307
07/07/2023 13:58:26:773,345.998,1.50201e-307,1.50201e-307,,,0.0923353,1.50201e-307,1.50201e-307,,,31.951,1.50201e-307,1.50201e-307
07/07/2023 13:58:27:180,345.996,1.50201e-307,1.50201e-307,,,0.0923821,1.50201e-307,1.50201e-307,,,31.951,1.50201e-307,1.50201e-307
07/07/2023 13:58:27:390,345.996,8.90104e-307,8.90104e-307,,,0.0923821,8.90104e-307,8.90104e-307,,,31.5457,8.90104e-307,8.90104e-307
07/07/2023 13:58:27:591,345.998,7.56593e-307,7.56593e-307,,,0.0910619,7.56593e-307,7.56593e-307,,,31.5457,7.56593e-307,7.56593e-307
07/07/2023 13:58:27:789,345.998,7.56593e-307,7.56593e-307,,,0.0910619,7.56593e-307,7.56593e-307,,,31.4024,7.56593e-307,7.56593e-307
07/07/2023 13:58:27:996,345.998,1.69119e-306,1.69119e-306,,,0.0910619,1.69119e-306,1.69119e-306,,,31.3046,1.69119e-306,1.69119e-306
07/07/2023 13:58:28:381,345.997,1.60221e-306,1.60221e-306,,,0.0902353,1.60221e-306,1.60221e-306,,,31.6246,1.60221e-306,1.60221e-306
07/07/2023 13:58:28:799,345.997,1.11261e-306,1.11261e-306,,,0.091571,1.11261e-306,1.11261e-306,,,31.6952,1.11261e-306,1.11261e-306
07/07/2023 13:58:29:006,345.997,1.86922e-306,1.86922e-306,,,0.0912782,1.86922e-306,1.86922e-306,,,31.6351,1.86922e-306,1.86922e-306
07/07/2023 13:58:29:221,345.996,3.22646e-307,3.22646e-307,,,0.0912782,3.22646e-307,3.22646e-307,,,31.6351,3.22646e-307,3.22646e-307
07/07/2023 13:58:29:421,345.996,2.44768e-307,2.44768e-307,,,0.0912782,2.44768e-307,2.44768e-307,,,31.5767,2.44768e-307,2.44768e-307
07/07/2023 13:58:29:631,345.997,1.00133e-307,1.00133e-307,,,0.0911586,1.00133e-307,1.00133e-307,,,31.5767,1.00133e-307,1.00133e-307
07/07/2023 13:58:30:032,345.997,1.22384e-307,1.22384e-307,,,0.0911586,1.22384e-307,1.22384e-307,,,31.7844,1.22384e-307,1.22384e-307
07/07/2023 13:58:30:424,345.997,2.13621e-306,2.13621e-306,,,0.0918255,2.13621e-306,2.13621e-306,,,31.5131,2.13621e-306,2.13621e-306
07/07/2023 13:58:30:625,345.997,8.01102e-307,8.01102e-307,,,0.0910205,8.01102e-307,8.01102e-307,,,31.5131,8.01102e-307,8.01102e-307
07/07/2023 13:58:30:849,345.997,1.29061e-306,1.29061e-306,,,0.0910205,1.29061e-306,1.29061e-306,,,31.6097,1.29061e-306,1.29061e-306
07/07/2023 13:58:31:028,345.997,1.24611e-306,1.24611e-306,,,0.0915552,1.24611e-306,1.24611e-306,,,31.753,1.24611e-306,1.24611e-306
07/07/2023 13:58:31:244,345.997,1.11261e-306,1.11261e-306,,,0.0915552,1.11261e-306,1.11261e-306,,,31.753,1.11261e-306,1.11261e-306
07/07/2023 13:58:31:447,345.997,8.01098e-307,8.01098e-307,,,0.0915552,8.01098e-307,8.01098e-307,,,31.7615,8.01098e-307,8.01098e-307
07/07/2023 13:58:31:648,345.998,1.37962e-306,1.37962e-306,,,0.0916262,1.37962e-306,1.37962e-306,,,31.7615,1.37962e-306,1.37962e-306
07/07/2023 13:58:31:862,345.998,1.11261e-306,1.11261e-306,,,0.0916262,1.11261e-306,1.11261e-306,,,31.4017,1.11261e-306,1.11261e-306
07/07/2023 13:58:32:063,345.997,7.56599e-307,7.56599e-307,,,0.0907494,7.56599e-307,7.56599e-307,,,31.4017,7.56599e-307,7.56599e-307
07/07/2023 13:58:32:262,345.997,8.01101e-307,8.01101e-307,,,0.0907494,8.01101e-307,8.01101e-307,,,31.4116,8.01101e-307,8.01101e-307
07/07/2023 13:58:32:473,345.997,1.502e-307,1.502e-307,,,0.0907494,1.502e-307,1.502e-307,,,31.4406,1.502e-307,1.502e-307
07/07/2023 13:58:32:875,345.998,1.50199e-307,1.50199e-307,,,0.090783,1.50199e-307,1.50199e-307,,,31.9315,1.50199e-307,1.50199e-307
07/07/2023 13:58:33:269,345.997,7.56577e-307,7.56577e-307,,,0.0922327,7.56577e-307,7.56577e-307,,,31.8703,7.56577e-307,7.56577e-307
07/07/2023 13:58:33:463,345.997,1.3796e-306,1.3796e-306,,,0.0922327,1.3796e-306,1.3796e-306,,,31.5687,1.3796e-306,1.3796e-306
07/07/2023 13:58:33:671,345.997,1.60217e-306,1.60217e-306,,,0.0910869,1.60217e-306,1.60217e-306,,,31.5687,1.60217e-306,1.60217e-306
07/07/2023 13:58:33:867,345.997,1.3796e-306,1.3796e-306,,,0.0910869,1.3796e-306,1.3796e-306,,,31.5759,1.3796e-306,1.3796e-306
07/07/2023 13:58:34:085,345.997,7.56591e-307,7.56591e-307,,,0.0913823,7.56591e-307,7.56591e-307,,,31.5759,7.56591e-307,7.56591e-307
07/07/2023 13:58:34:301,345.997,1.33512e-306,1.33512e-306,,,0.0913823,1.33512e-306,1.33512e-306,,,31.1896,1.33512e-306,1.33512e-306
07/07/2023 13:58:34:502,345.997,9.34606e-307,9.34606e-307,,,0.0886777,9.34606e-307,9.34606e-307,,,30.2715,9.34606e-307,9.34606e-307
07/07/2023 13:58:34:700,345.998,1.37959e-306,1.37959e-306,,,0.0873604,1.37959e-306,1.37959e-306,,,30.2715,1.37959e-306,1.37959e-306
07/07/2023 13:58:34:901,345.998,1.50201e-307,1.50201e-307,,,0.0873604,1.50201e-307,1.50201e-307,,,30.2712,1.50201e-307,1.50201e-307
07/07/2023 13:58:35:272,345.997,4.22784e-307,4.22784e-307,,,0.0873872,4.22784e-307,4.22784e-307,,,30.2712,4.22784e-307,4.22784e-307
07/07/2023 13:58:35:328,345.997,1.50201e-307,1.50201e-307,,,0.0873872,1.50201e-307,1.50201e-307,,,31.2349,1.50201e-307,1.50201e-307
07/07/2023 13:58:35:690,345.997,1.502e-307,1.502e-307,,,0.0901276,1.502e-307,1.502e-307,,,31.6525,1.502e-307,1.502e-307
07/07/2023 13:58:36:104,345.996,1.1126e-306,1.1126e-306,,,0.0914346,1.1126e-306,1.1126e-306,,,31.6525,1.1126e-306,1.1126e-306
07/07/2023 13:58:36:315,345.996,7.56599e-307,7.56599e-307,,,0.0914346,7.56599e-307,7.56599e-307,,,31.514,7.56599e-307,7.56599e-307
07/07/2023 13:58:36:519,345.996,1.33511e-306,1.33511e-306,,,0.0904744,1.33511e-306,1.33511e-306,,,31.2663,1.33511e-306,1.33511e-306
07/07/2023 13:58:36:726,345.997,1.06811e-306,1.06811e-306,,,0.0904744,1.06811e-306,1.06811e-306,,,31.2663,1.06811e-306,1.06811e-306
07/07/2023 13:58:36:940,345.997,1.24611e-306,1.24611e-306,,,0.0904744,1.24611e-306,1.24611e-306,,,31.444,1.24611e-306,1.24611e-306
07/07/2023 13:58:37:144,345.997,1.50212e-307,1.50212e-307,,,0.0906569,1.50212e-307,1.50212e-307,,,31.444,1.50212e-307,1.50212e-307
07/07/2023 13:58:37:365,345.997,1.50212e-307,1.50212e-307,,,0.0906569,1.50212e-307,1.50212e-307,,,31.8323,1.50212e-307,1.50212e-307
07/07/2023 13:58:37:543,345.997,1.60221e-306,1.60221e-306,,,0.092043,1.60221e-306,1.60221e-306,,,31.8323,1.60221e-306,1.60221e-306
07/07/2023 13:58:37:746,345.997,1.7802e-306,1.7802e-306,,,0.092043,1.7802e-306,1.7802e-306,,,31.8323,1.7802e-306,1.7802e-306
07/07/2023 13:58:37:947,345.997,1.29061e-306,1.29061e-306,,,0.092043,1.29061e-306,1.29061e-306,,,31.8502,1.29061e-306,1.29061e-306
