Time,Voltage [U],Voltage [V],Voltage [W],,,Current [U],Current [V],Current [W],,,Power [U],Power [V],Power [W]
05/07/2023 14:16:54:482,345.996,1.50202e-307,1.50202e-307,,,0.0894581,1.50202e-307,1.50202e-307,,,30.572,1.50202e-307,1.50202e-307
05/07/2023 14:16:55:510,345.997,1.50201e-307,1.50201e-307,,,0.0887389,1.50201e-307,1.50201e-307,,,30.7793,1.50201e-307,1.50201e-307
05/07/2023 14:16:56:515,345.996,1.50201e-307,1.50201e-307,,,0.0894271,1.50201e-307,1.50201e-307,,,31.0323,1.50201e-307,1.50201e-307
05/07/2023 14:16:57:536,345.996,8.90104e-307,8.90104e-307,,,0.0875847,8.90104e-307,8.90104e-307,,,30.3893,8.90104e-307,8.90104e-307
05/07/2023 14:16:58:532,345.996,7.56593e-307,7.56593e-307,,,0.0895973,7.56593e-307,7.56593e-307,,,31.0739,7.56593e-307,7.56593e-307
05/07/2023 14:16:59:572,345.995,7.56593e-307,7.56593e-307,,,0.0897084,7.56593e-307,7.56593e-307,,,30.9887,7.56593e-307,7.56593e-307
05/07/2023 14:17:00:569,345.996,1.69119e-306,1.69119e-306,,,0.0895653,1.69119e-306,1.69119e-306,,,30.9043,1.69119e-306,1.69119e-306
05/07/2023 14:17:01:608,345.995,1.60221e-306,1.60221e-306,,,0.0901179,1.60221e-306,1.60221e-306,,,31.084,1.60221e-306,1.60221e-306
05/07/2023 14:17:02:601,345.995,1.11261e-306,1.11261e-306,,,0.0897056,1.11261e-306,1.11261e-306,,,31.0768,1.11261e-306,1.11261e-306
05/07/2023 14:17:03:641,345.996,1.86922e-306,1.86922e-306,,,0.0896149,1.86922e-306,1.86922e-306,,,31.1327,1.86922e-306,1.86922e-306
05/07/2023 14:17:04:631,345.995,3.22646e-307,3.22646e-307,,,0.0899691,3.22646e-307,3.22646e-307,,,31.1711,3.22646e-307,3.22646e-307
05/07/2023 14:17:05:661,345.996,2.44768e-307,2.44768e-307,,,0.0883732,2.44768e-307,2.44768e-307,,,30.4338,2.44768e-307,2.44768e-307
05/07/2023 14:17:06:686,345.996,1.00133e-307,1.00133e-307,,,0.0891212,1.00133e-307,1.00133e-307,,,30.8643,1.00133e-307,1.00133e-307
05/07/2023 14:17:07:684,345.996,1.22384e-307,1.22384e-307,,,0.0887561,1.22384e-307,1.22384e-307,,,30.6424,1.22384e-307,1.22384e-307
