Datetime,Building Load (kWh),PV (kWh),Price (Euros/kWh),EV3 (A),EV3 (kW),EV2 (A),EV2 (kW),EV1 (A),EV1 (kW),EV0 (A),EV0 (kW)
2022-12-12 06:00:00,3.0,0.005,0.2856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-12 06:05:00,2.3318000000000003,0.0052,0.2856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-12 06:10:00,2.3214,0.0056,0.2856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-12 06:15:00,2.2942,0.0062,0.2856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-12 06:20:00,2.3128,0.0064,0.2856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-12 06:25:00,2.8342,0.006,0.2856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-12 06:30:00,3.4526,0.0043999999999999,0.2856,20.0,6.79000006743881,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-12 06:35:00,3.4334000000000007,0.0046,0.2856,20.0,6.790000067439119,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-12 06:40:00,3.4686000000000003,0.0046,0.2856,20.0,6.790000067438547,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-12 06:45:00,4.4454,0.006,0.2856,20.0,6.790000067422096,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-12 06:50:00,10.2942,0.0062,0.2856,20.0,6.790000067292612,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-12 06:55:00,8.7966,0.0056,0.2856,20.0,6.790000067332029,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-12 07:00:00,6.853199999999999,0.0052,0.35276,20.0,6.790000067266071,20.0,6.790000067259967,0.0,0.0,0.0,0.0
2022-12-12 07:05:00,14.6278,0.005,0.35276,20.0,6.790000066452036,20.0,6.7900000663591085,0.0,0.0,0.0,0.0
2022-12-12 07:10:00,14.9634,0.0043999999999999,0.35276,20.0,6.790000066390329,20.0,6.7900000662460505,0.0,0.0,0.0,0.0
2022-12-12 07:15:00,12.3416,0.0048,0.35276,20.0,6.790000066866299,20.0,6.790000066800634,0.0,0.0,0.0,0.0
2022-12-12 07:20:00,11.750400000000004,0.0046,0.35276,20.0,6.790000066934942,20.0,6.790000066877949,0.0,0.0,0.0,0.0
2022-12-12 07:25:00,12.2026,0.0048,0.35276,20.0,6.7900000668694185,20.0,6.790000066823083,0.0,0.0,0.0,0.0
2022-12-12 07:30:00,12.2724,0.0054,0.35276,20.0,6.790000066867548,20.0,6.79000006680357,0.0,0.0,0.0,0.0
2022-12-12 07:35:00,12.7,0.0062,0.35276,20.0,6.790000066799557,20.0,6.79000006674841,0.0,0.0,0.0,0.0
2022-12-12 07:40:00,12.3914,0.0058,0.35276,20.0,6.790000066841437,20.0,6.790000066794193,0.0,0.0,0.0,0.0
2022-12-12 07:45:00,13.9222,0.0064,0.35276,6.0,2.036999982722396,20.0,6.790000065893291,20.0,6.790000067490374,0.0,0.0
2022-12-12 07:50:00,13.472,0.0064,0.35276,6.0,2.036999982948706,20.0,6.790000066118795,20.0,6.790000067498979,0.0,0.0
2022-12-12 07:55:00,12.966,0.0068,0.35276,6.0,2.0369999839555817,20.0,6.790000066282751,20.0,6.79000006750822,0.0,0.0
2022-12-12 08:00:00,13.5846,0.006,0.505,6.0,2.036999979793007,6.0,2.0369999797895,12.57,4.268011917524547,0.0,0.0
2022-12-12 08:05:00,15.061399999999995,0.0062,0.505,6.0,2.036999980125056,6.0,2.036999980136171,6.0,2.036999995459959,0.0,0.0
